date,lambda,value,total_time,scheduled_plan,optimal_plan,time_schedule
2024-02-03,1.0,8043,723,"[7, 1, 1, 4, 1, 2, 4, 7, 4, 4, 4, 7, 4, 1, 6, 1, 7, 1, 3, 4]","[7, 1, 4, 1, 2, 4, 7, 4, 7, 4, 1, 6, 1, 7, 1, 3, 4]","[0, 60, 90, 105, 135, 225, 240, 330, 345, 435, 450, 480, 510, 540, 630, 645, 705]"
2024-02-03,3.111111111111111,8462,701,"[7, 7, 1, 4, 1, 0, 1, 6, 4, 2, 1, 4, 7, 1, 4, 6, 1, 5, 2]","[7, 1, 4, 1, 0, 1, 6, 4, 2, 1, 4, 7, 1, 4, 6, 1, 5, 2]","[0, 60, 90, 105, 135, 270, 285, 330, 345, 420, 450, 465, 540, 570, 585, 615, 645, 690]"
2024-02-03,5.222222222222222,8448,705,"[4, 3, 1, 4, 1, 7, 5, 4, 1, 0, 4, 4, 5, 1, 5, 4, 1, 4, 1, 6]","[4, 3, 1, 4, 1, 7, 5, 4, 1, 0, 4, 5, 1, 5, 4, 1, 4, 6]","[0, 30, 45, 60, 90, 105, 195, 255, 270, 300, 420, 435, 510, 540, 615, 630, 660, 675]"
2024-02-03,7.333333333333334,7961,718,"[5, 3, 6, 1, 4, 6, 1, 4, 5, 2, 6, 4, 7, 4, 0, 2, 5, 4, 5]","[5, 3, 6, 1, 4, 6, 1, 4, 5, 2, 6, 4, 7, 4, 0, 2, 5]","[0, 30, 45, 90, 105, 120, 165, 180, 210, 270, 330, 360, 390, 480, 495, 615, 690]"
2024-02-03,9.444444444444445,4678,293,"[3, 6, 4, 3, 6, 1, 6, 1, 6, 4]","[3, 6, 4, 3, 6, 1, 6, 1, 6, 4]","[0, 45, 90, 105, 120, 165, 180, 225, 240, 285]"
2024-02-03,11.555555555555555,3781,244,"[6, 4, 3, 4, 7, 7, 1, 4, 1, 1]","[6, 4, 3, 4, 7, 1, 4, 1]","[0, 45, 60, 75, 105, 195, 210, 225]"
2024-02-03,13.666666666666668,4242,282,"[4, 3, 7, 7, 1, 1, 6, 4, 6, 4, 1]","[4, 3, 7, 1, 6, 4, 6, 4, 1]","[0, 30, 45, 135, 150, 195, 210, 255, 270]"
2024-02-03,15.777777777777779,3751,192,"[5, 5, 4, 6, 4, 3, 6, 6, 1, 4, 4]","[5, 4, 6, 4, 3, 6, 1, 4]","[0, 30, 45, 90, 105, 120, 165, 180]"
2024-02-03,17.88888888888889,4247,215,"[3, 4, 3, 4, 4, 1, 3, 6, 4, 1]","[3, 4, 3, 4, 1, 3, 6, 4, 1]","[0, 45, 75, 90, 105, 120, 150, 180, 195]"
2024-02-03,20.0,3807,210,"[4, 3, 1, 4, 3, 4, 4, 7, 4, 4]","[4, 3, 1, 4, 3, 4, 7, 4]","[0, 30, 45, 60, 90, 105, 120, 195]"
