date,lambda,value,total_time,scheduled_plan,optimal_plan,time_schedule
2023-01-05,1.0,5654,745,"[6, 7, 6, 6, 4, 7, 5, 3, 4, 6, 6, 4, 2, 7, 1]","[6, 7, 6, 4, 7, 5, 3, 4, 6, 4, 2, 7]","[0, 45, 105, 180, 255, 345, 420, 525, 600, 645, 690, 705]"
2023-01-05,3.111111111111111,5616,718,"[7, 4, 6, 7, 6, 4, 6, 5, 6, 4, 5, 0, 3, 0, 4]","[7, 4, 6, 7, 6, 4, 6, 5, 6, 4, 5, 3]","[0, 60, 150, 210, 285, 360, 435, 495, 570, 600, 675, 705]"
2023-01-05,5.222222222222222,5627,718,"[7, 6, 7, 4, 6, 2, 5, 6, 7, 4, 2, 5]","[7, 6, 7, 4, 6, 2, 5, 6, 7, 4, 2, 5]","[0, 60, 105, 195, 270, 345, 435, 495, 570, 645, 690, 705]"
2023-01-05,7.333333333333334,5616,712,"[6, 2, 6, 4, 6, 5, 2, 6, 4, 6, 4, 1, 2]","[6, 2, 6, 4, 6, 5, 2, 6, 4, 6, 4, 2]","[0, 45, 135, 195, 285, 345, 435, 540, 570, 645, 690, 705]"
2023-01-05,9.444444444444445,5663,719,"[4, 6, 7, 4, 6, 7, 4, 6, 5, 3, 4, 0, 4]","[4, 6, 7, 4, 6, 7, 4, 6, 5, 3, 4, 4]","[0, 45, 90, 165, 240, 300, 375, 465, 540, 600, 690, 705]"
2023-01-05,11.555555555555555,2780,357,"[5, 3, 3, 6, 6, 5, 5, 5, 5, 7, 1]","[5, 3, 6, 5, 7, 1]","[0, 30, 120, 195, 255, 345]"
2023-01-05,13.666666666666668,2799,426,"[3, 3, 3, 6, 6, 2, 5, 6, 6, 6, 4]","[3, 6, 2, 5, 6, 4]","[0, 75, 135, 210, 285, 360]"
2023-01-05,15.777777777777779,2795,413,"[5, 7, 5, 4, 4, 3, 3, 3, 6, 6]","[5, 7, 5, 4, 3, 6]","[0, 30, 105, 165, 255, 360]"
2023-01-05,17.88888888888889,3747,594,"[5, 2, 6, 7, 4, 7, 2, 5, 5, 5, 5]","[5, 2, 6, 7, 4, 7, 2, 5]","[0, 30, 120, 180, 270, 345, 420, 540]"
2023-01-05,20.0,2846,433,"[7, 5, 7, 7, 4, 7, 7, 4, 4, 4]","[7, 5, 7, 4, 7, 4]","[0, 60, 135, 210, 285, 360]"
