date,lambda,value,total_time,scheduled_plan,optimal_plan,time_schedule
2024-01-12,1.0,7505,709,"[3, 4, 3, 1, 3, 6, 1, 4, 6, 1, 7, 5, 3, 1, 2, 3, 5, 6]","[3, 4, 3, 1, 3, 6, 1, 4, 6, 1, 7, 5, 3, 1, 2, 3]","[0, 30, 45, 60, 90, 180, 225, 240, 345, 390, 405, 510, 585, 660, 675, 705]"
2024-01-12,3.111111111111111,7097,722,"[4, 3, 4, 1, 0, 7, 4, 1, 2, 1, 3, 1, 2, 4, 2, 6, 4]","[4, 3, 4, 1, 0, 7, 4, 1, 2, 1, 3, 1, 2, 4, 2]","[0, 30, 45, 60, 90, 225, 315, 405, 435, 540, 555, 660, 675, 690, 705]"
2024-01-12,5.222222222222222,8445,716,"[3, 4, 1, 1, 4, 6, 1, 7, 6, 1, 7, 3, 1, 6, 5, 3, 2, 3, 2, 2]","[3, 4, 1, 4, 6, 1, 7, 6, 1, 7, 3, 1, 6, 5, 3, 2, 3, 2]","[0, 30, 45, 60, 90, 120, 150, 225, 255, 285, 360, 450, 480, 510, 600, 675, 690, 705]"
2024-01-12,7.333333333333334,7059,710,"[4, 1, 3, 3, 4, 1, 5, 1, 2, 2, 1, 4, 3, 6, 0, 4, 2, 6]","[4, 1, 3, 4, 1, 5, 1, 2, 1, 4, 3, 6, 0, 4, 2]","[0, 30, 45, 60, 90, 105, 180, 195, 285, 315, 405, 510, 540, 675, 705]"
2024-01-12,9.444444444444445,4207,357,"[1, 3, 1, 4, 6, 1, 1, 1, 2, 2, 6, 1]","[1, 3, 1, 4, 6, 1, 2, 6, 1]","[0, 30, 45, 75, 150, 195, 210, 300, 345]"
2024-01-12,11.555555555555555,4188,370,"[4, 6, 1, 7, 7, 1, 6, 5, 1, 1, 6, 6]","[4, 6, 1, 7, 1, 6, 5, 1, 6]","[0, 30, 60, 90, 180, 195, 240, 315, 345]"
2024-01-12,13.666666666666668,4203,238,"[4, 1, 4, 6, 1, 1, 6, 1, 1, 6, 1]","[4, 1, 4, 6, 1, 6, 1, 6, 1]","[0, 30, 45, 60, 105, 120, 165, 180, 225]"
2024-01-12,15.777777777777779,4200,376,"[6, 3, 1, 7, 1, 1, 6, 3, 1, 6, 6]","[6, 3, 1, 7, 1, 6, 3, 1, 6]","[0, 45, 60, 90, 180, 195, 240, 330, 345]"
2024-01-12,17.88888888888889,2825,365,"[7, 6, 0, 1, 1, 1, 4, 4, 1, 1, 1]","[7, 6, 0, 1, 4, 1]","[0, 60, 105, 225, 240, 345]"
2024-01-12,20.0,2331,212,"[5, 4, 1, 1, 1, 2, 2, 6, 6, 6]","[5, 4, 1, 2, 6]","[0, 45, 60, 75, 180]"
