date,lambda,value,total_time,scheduled_plan,optimal_plan,time_schedule
2024-01-13,1.0,8462,715,"[4, 1, 3, 2, 6, 1, 2, 7, 6, 4, 1, 4, 7, 5, 2, 1, 6, 4]","[4, 1, 3, 2, 6, 1, 2, 7, 6, 4, 1, 4, 7, 5, 2, 1, 6, 4]","[0, 30, 45, 120, 165, 210, 225, 285, 360, 390, 450, 465, 510, 585, 600, 630, 660, 690]"
2024-01-13,3.111111111111111,8430,714,"[4, 1, 7, 3, 2, 4, 1, 3, 1, 4, 5, 4, 6, 5, 7, 5, 5, 2, 5, 6]","[4, 1, 7, 3, 2, 4, 1, 3, 1, 4, 5, 4, 6, 5, 7, 5, 2, 5]","[0, 30, 45, 135, 195, 240, 300, 315, 375, 390, 450, 465, 510, 555, 570, 630, 660, 690]"
2024-01-13,5.222222222222222,8351,629,"[1, 6, 6, 1, 6, 3, 6, 4, 1, 3, 6, 1, 5, 1, 5, 1, 1, 3, 5, 1]","[1, 6, 1, 6, 3, 6, 4, 1, 3, 6, 1, 5, 1, 5, 1, 3, 5, 1]","[0, 30, 60, 90, 120, 195, 225, 285, 315, 360, 405, 420, 480, 495, 525, 540, 585, 615]"
2024-01-13,7.333333333333334,8379,680,"[6, 1, 2, 6, 5, 7, 3, 1, 3, 1, 5, 1, 6, 1, 2, 6, 2, 2, 1]","[6, 1, 2, 6, 5, 7, 3, 1, 3, 1, 5, 1, 6, 1, 2, 6, 2, 1]","[0, 45, 60, 150, 180, 240, 300, 345, 375, 420, 450, 465, 495, 525, 555, 585, 630, 660]"
2024-01-13,9.444444444444445,8416,714,"[4, 5, 2, 1, 2, 4, 6, 5, 4, 1, 5, 2, 4, 4, 3, 6, 5, 2, 3]","[4, 5, 2, 1, 2, 4, 6, 5, 4, 1, 5, 2, 4, 3, 6, 5, 2, 3]","[0, 30, 60, 150, 165, 210, 270, 315, 360, 420, 450, 465, 495, 555, 585, 630, 660, 690]"
2024-01-13,11.555555555555555,8886,718,"[1, 5, 3, 4, 7, 5, 1, 6, 1, 2, 1, 6, 1, 2, 6, 6, 4, 1, 2, 4]","[1, 5, 3, 4, 7, 5, 1, 6, 1, 2, 1, 6, 1, 2, 6, 4, 1, 2, 4]","[0, 30, 60, 135, 195, 270, 315, 345, 375, 405, 450, 465, 510, 525, 570, 600, 645, 660, 690]"
2024-01-13,13.666666666666668,4640,367,"[2, 1, 6, 6, 2, 5, 6, 6, 1, 5, 2, 1]","[2, 1, 6, 2, 5, 6, 1, 5, 2, 1]","[0, 45, 60, 105, 135, 210, 240, 270, 315, 345]"
2024-01-13,15.777777777777779,3708,267,"[5, 1, 1, 6, 7, 7, 6, 1, 6, 1]","[5, 1, 6, 7, 6, 1, 6, 1]","[0, 30, 45, 90, 150, 195, 210, 255]"
2024-01-13,17.88888888888889,1843,104,"[5, 1, 1, 1, 1, 1, 1, 6, 6, 1]","[5, 1, 6, 1]","[0, 30, 45, 90]"
2024-01-13,20.0,2816,205,"[4, 4, 1, 6, 1, 4, 1, 1, 1, 1]","[4, 1, 6, 1, 4, 1]","[0, 30, 45, 90, 105, 195]"
