date,lambda,value,total_time,scheduled_plan,optimal_plan,time_schedule
2024-01-09,1.0,6110,723,"[0, 5, 6, 2, 4, 3, 6, 4, 6, 4, 6, 2, 4, 6, 4, 0, 0]","[0, 5, 6, 2, 4, 3, 6, 4, 6, 4, 6, 2, 4]","[0, 75, 165, 195, 285, 360, 435, 480, 555, 585, 645, 690, 705]"
2024-01-09,3.111111111111111,6575,719,"[1, 4, 6, 6, 7, 4, 6, 7, 3, 6, 3, 6, 3, 6, 1, 2]","[1, 4, 6, 7, 4, 6, 7, 3, 6, 3, 6, 3, 6, 2]","[0, 30, 60, 90, 180, 255, 300, 375, 465, 495, 570, 615, 675, 705]"
2024-01-09,5.222222222222222,6527,708,"[5, 4, 5, 7, 6, 5, 4, 6, 2, 3, 6, 4, 5, 5, 2, 6, 1]","[5, 4, 5, 7, 6, 5, 4, 6, 2, 3, 6, 4, 5, 2]","[0, 30, 45, 75, 165, 195, 270, 345, 375, 465, 540, 585, 645, 705]"
2024-01-09,7.333333333333334,6577,720,"[2, 4, 6, 7, 1, 5, 6, 6, 4, 6, 4, 3, 6, 2, 4, 6]","[2, 4, 6, 7, 1, 5, 6, 4, 6, 4, 3, 6, 2, 4]","[0, 30, 60, 90, 180, 300, 375, 405, 480, 525, 585, 645, 690, 705]"
2024-01-09,9.444444444444445,4684,503,"[4, 5, 6, 7, 4, 6, 6, 7, 6, 3, 6]","[4, 5, 6, 7, 4, 6, 7, 6, 3, 6]","[0, 30, 45, 90, 165, 240, 270, 360, 390, 465]"
2024-01-09,11.555555555555555,2804,264,"[4, 4, 4, 4, 5, 7, 6, 3, 3, 6]","[4, 5, 7, 6, 3, 6]","[0, 30, 45, 120, 150, 240]"
2024-01-09,13.666666666666668,3261,352,"[5, 5, 4, 4, 5, 3, 4, 4, 5, 2]","[5, 4, 5, 3, 4, 5, 2]","[0, 30, 45, 75, 150, 225, 285]"
2024-01-09,15.777777777777779,2332,271,"[7, 5, 6, 6, 4, 4, 4, 6, 6, 6]","[7, 5, 6, 4, 6]","[0, 60, 135, 165, 240]"
2024-01-09,17.88888888888889,1901,255,"[1, 1, 7, 7, 4, 7, 7, 7, 7, 7]","[1, 7, 4, 7]","[0, 30, 105, 180]"
2024-01-09,20.0,3297,400,"[4, 5, 3, 4, 6, 6, 3, 3, 3, 4, 4]","[4, 5, 3, 4, 6, 3, 4]","[0, 30, 45, 135, 195, 225, 315]"
