date,lambda,value,total_time,scheduled_plan,optimal_plan,time_schedule
2024-03-17,1.0,6998,740,"[2, 5, 1, 2, 5, 2, 1, 5, 5, 1, 1, 3, 2, 4, 2, 5, 7, 4, 5, 7]","[2, 5, 1, 2, 5, 2, 1, 5, 1, 3, 2, 4, 2, 5, 7]","[0, 30, 75, 105, 165, 240, 300, 330, 390, 420, 510, 555, 615, 660, 690]"
2024-03-17,3.111111111111111,7026,718,"[4, 1, 6, 1, 2, 2, 1, 4, 7, 2, 1, 7, 7, 5, 7, 5, 6, 4, 5, 6]","[4, 1, 6, 1, 2, 1, 4, 7, 2, 1, 7, 5, 7, 5, 6]","[0, 30, 45, 90, 105, 180, 210, 300, 375, 420, 450, 540, 600, 660, 690]"
2024-03-17,5.222222222222222,7059,715,"[2, 4, 1, 2, 5, 1, 7, 5, 1, 7, 2, 3, 4, 2, 1, 0, 4]","[2, 4, 1, 2, 5, 1, 7, 5, 1, 7, 2, 3, 4, 2, 4]","[0, 30, 90, 120, 195, 255, 270, 360, 435, 450, 540, 600, 645, 690, 705]"
2024-03-17,7.333333333333334,6063,604,"[2, 1, 1, 6, 5, 3, 2, 1, 6, 1, 2, 1, 2, 1, 1]","[2, 1, 6, 5, 3, 2, 1, 6, 1, 2, 1, 2, 1]","[0, 30, 45, 90, 195, 300, 360, 375, 435, 465, 510, 540, 585]"
2024-03-17,9.444444444444445,4176,417,"[1, 5, 1, 1, 2, 2, 1, 6, 7, 5, 1]","[1, 5, 1, 2, 1, 6, 7, 5, 1]","[0, 30, 75, 105, 165, 195, 255, 330, 405]"
2024-03-17,11.555555555555555,7481,714,"[4, 6, 1, 4, 4, 1, 3, 1, 1, 6, 1, 3, 4, 1, 2, 5, 2, 5, 5]","[4, 6, 1, 4, 1, 3, 1, 6, 1, 3, 4, 1, 2, 5, 2, 5]","[0, 30, 75, 90, 210, 225, 315, 345, 405, 435, 525, 600, 615, 660, 690, 705]"
2024-03-17,13.666666666666668,2342,184,"[2, 1, 6, 6, 6, 7, 7, 7, 7, 1]","[2, 1, 6, 7, 1]","[0, 30, 45, 90, 165]"
2024-03-17,15.777777777777779,1852,213,"[5, 5, 5, 6, 7, 7, 7, 6, 6, 6]","[5, 6, 7, 6]","[0, 30, 60, 150]"
2024-03-17,17.88888888888889,3716,383,"[5, 5, 5, 1, 1, 7, 1, 6, 7, 1, 5, 5]","[5, 1, 7, 1, 6, 7, 1, 5]","[0, 30, 45, 120, 150, 210, 300, 315]"
2024-03-17,20.0,2781,283,"[1, 2, 2, 1, 1, 1, 1, 5, 1, 6]","[1, 2, 1, 5, 1, 6]","[0, 30, 105, 135, 210, 225]"
