date,lambda,value,total_time,scheduled_plan,optimal_plan,time_schedule
2023-01-13,1.0,7994,706,"[2, 2, 4, 1, 7, 2, 4, 2, 4, 6, 4, 6, 4, 5, 6, 1, 4, 4, 5, 3]","[2, 4, 1, 7, 2, 4, 2, 4, 6, 4, 6, 4, 5, 6, 1, 4, 5]","[0, 75, 90, 195, 255, 300, 330, 375, 390, 435, 465, 510, 525, 570, 615, 675, 690]"
2023-01-13,3.111111111111111,8500,717,"[6, 3, 5, 4, 6, 4, 3, 6, 7, 3, 3, 4, 2, 4, 3, 2, 4, 2, 4]","[6, 3, 5, 4, 6, 4, 3, 6, 7, 3, 4, 2, 4, 3, 2, 4, 2, 4]","[0, 45, 120, 165, 180, 240, 255, 315, 360, 435, 495, 510, 555, 570, 630, 660, 675, 705]"
2023-01-13,5.222222222222222,7991,722,"[6, 2, 4, 2, 5, 4, 2, 4, 7, 7, 4, 6, 4, 1, 5, 5, 7, 2, 1, 5]","[6, 2, 4, 2, 5, 4, 2, 4, 7, 4, 6, 4, 1, 5, 7, 2, 5]","[0, 45, 120, 135, 195, 255, 270, 330, 345, 405, 420, 480, 495, 600, 630, 690, 705]"
2023-01-13,7.333333333333334,8022,720,"[7, 6, 4, 3, 3, 4, 2, 2, 7, 2, 4, 4, 6, 3, 1, 4, 1, 5, 4, 3]","[7, 6, 4, 3, 4, 2, 7, 2, 4, 6, 3, 1, 4, 1, 5, 4, 3]","[0, 60, 105, 135, 195, 210, 255, 330, 375, 390, 450, 495, 585, 600, 675, 690, 705]"
2023-01-13,9.444444444444445,7938,698,"[5, 3, 4, 1, 5, 4, 5, 4, 1, 2, 5, 4, 7, 5, 4, 5, 5, 5, 0, 2]","[5, 3, 4, 1, 5, 4, 5, 4, 1, 2, 5, 4, 7, 5, 4, 5, 2]","[0, 45, 105, 135, 210, 270, 285, 345, 360, 450, 495, 555, 570, 630, 645, 660, 690]"
2023-01-13,11.555555555555555,5211,456,"[4, 2, 4, 4, 7, 4, 7, 4, 5, 7, 5, 5, 4, 4, 4]","[4, 2, 4, 7, 4, 7, 4, 5, 7, 5, 4]","[0, 30, 90, 120, 180, 195, 255, 270, 330, 390, 450]"
2023-01-13,13.666666666666668,3777,298,"[3, 3, 4, 5, 4, 6, 4, 3, 3, 4]","[3, 4, 5, 4, 6, 4, 3, 4]","[0, 60, 90, 135, 150, 195, 225, 285]"
2023-01-13,15.777777777777779,4201,317,"[4, 5, 5, 4, 5, 4, 5, 5, 2, 5, 4]","[4, 5, 4, 5, 4, 5, 2, 5, 4]","[0, 30, 60, 75, 120, 150, 195, 255, 300]"
2023-01-13,17.88888888888889,3269,257,"[4, 5, 5, 4, 4, 2, 5, 4, 5, 5]","[4, 5, 4, 2, 5, 4, 5]","[0, 30, 60, 75, 135, 195, 210]"
2023-01-13,20.0,3268,294,"[5, 4, 6, 4, 6, 6, 2, 6, 6, 6, 6]","[5, 4, 6, 4, 6, 2, 6]","[0, 45, 60, 105, 120, 180, 255]"
