date,lambda,value,total_time,scheduled_plan,optimal_plan,time_schedule
2023-03-15,1.0,5644,742,"[4, 1, 6, 7, 6, 7, 6, 6, 2, 0, 7, 3, 3, 6]","[4, 1, 6, 7, 6, 7, 6, 2, 0, 7, 3, 6]","[0, 30, 135, 195, 255, 315, 405, 465, 615, 630, 690, 705]"
2023-03-15,3.111111111111111,6107,722,"[3, 4, 7, 7, 0, 6, 6, 7, 6, 4, 5, 1, 5, 4, 3, 0, 7]","[3, 4, 7, 0, 6, 7, 6, 4, 5, 1, 5, 4, 3]","[0, 30, 45, 105, 270, 330, 405, 480, 570, 660, 675, 690, 705]"
2023-03-15,5.222222222222222,5681,717,"[4, 6, 7, 7, 2, 3, 2, 6, 7, 2, 4, 3, 4, 4, 4]","[4, 6, 7, 2, 3, 2, 6, 7, 2, 4, 3, 4]","[0, 30, 60, 120, 255, 405, 525, 585, 660, 675, 690, 705]"
2023-03-15,7.333333333333334,5667,717,"[4, 7, 4, 5, 1, 4, 7, 5, 0, 2, 4, 2, 6, 1, 0, 2, 4, 1, 4]","[4, 7, 4, 5, 1, 4, 7, 5, 0, 2, 4, 2]","[0, 30, 90, 180, 255, 405, 495, 585, 645, 675, 690, 705]"
2023-03-15,9.444444444444445,2351,236,"[5, 4, 6, 7, 7, 7, 7, 7, 4, 4]","[5, 4, 6, 7, 4]","[0, 30, 45, 75, 150]"
2023-03-15,11.555555555555555,6042,722,"[5, 6, 4, 5, 6, 5, 6, 4, 6, 7, 3, 0, 4, 5, 0, 2, 3]","[5, 6, 4, 5, 6, 5, 6, 4, 6, 7, 3, 4, 5]","[0, 30, 60, 165, 240, 300, 390, 450, 555, 600, 675, 690, 705]"
2023-03-15,13.666666666666668,1871,153,"[5, 4, 4, 4, 7, 7, 7, 7, 7, 6]","[5, 4, 7, 6]","[0, 30, 45, 105]"
2023-03-15,15.777777777777779,6087,722,"[3, 7, 6, 4, 2, 6, 4, 6, 5, 2, 3, 5, 3, 5, 0, 7]","[3, 7, 6, 4, 2, 6, 4, 6, 5, 2, 3, 5, 3]","[0, 30, 90, 150, 240, 375, 435, 525, 585, 660, 675, 690, 705]"
2023-03-15,17.88888888888889,3272,552,"[5, 4, 4, 4, 5, 2, 6, 6, 0, 7]","[5, 4, 5, 2, 6, 0, 7]","[0, 30, 45, 120, 255, 315, 480]"
2023-03-15,20.0,6095,723,"[1, 4, 5, 4, 6, 7, 6, 2, 1, 0, 0, 0, 4, 5, 0, 3, 5, 5, 0, 1]","[1, 4, 5, 4, 6, 7, 6, 2, 1, 0, 4, 5, 3]","[0, 30, 45, 135, 225, 285, 345, 405, 525, 660, 675, 690, 705]"
