date,lambda,value,total_time,scheduled_plan,optimal_plan,time_schedule
2024-01-22,1.0,7936,743,"[6, 7, 3, 1, 6, 1, 5, 1, 3, 1, 3, 0, 1, 6, 2, 3, 6, 2, 2]","[6, 7, 3, 1, 6, 1, 5, 1, 3, 1, 3, 0, 1, 6, 2, 3, 6]","[0, 45, 120, 225, 240, 285, 300, 390, 420, 435, 465, 480, 615, 645, 675, 690, 705]"
2024-01-22,3.111111111111111,7416,742,"[6, 7, 1, 5, 1, 3, 1, 6, 3, 6, 5, 1, 6, 5, 2, 6, 4]","[6, 7, 1, 5, 1, 3, 1, 6, 3, 6, 5, 1, 6, 5, 2, 6]","[0, 45, 120, 135, 210, 225, 330, 345, 390, 405, 435, 540, 570, 600, 690, 705]"
2024-01-22,5.222222222222222,7007,723,"[1, 6, 1, 7, 4, 1, 6, 1, 5, 1, 4, 1, 5, 2, 4, 3, 5]","[1, 6, 1, 7, 4, 1, 6, 1, 5, 1, 4, 1, 5, 2, 4]","[0, 30, 60, 90, 165, 255, 285, 315, 345, 420, 450, 555, 585, 675, 690]"
2024-01-22,7.333333333333334,7540,721,"[4, 6, 1, 4, 1, 7, 3, 1, 3, 1, 7, 7, 4, 2, 6, 2, 3, 5]","[4, 6, 1, 4, 1, 7, 3, 1, 3, 1, 7, 4, 2, 6, 2, 3]","[0, 30, 75, 90, 195, 210, 285, 390, 405, 420, 450, 525, 645, 660, 690, 705]"
2024-01-22,9.444444444444445,5604,561,"[1, 6, 6, 2, 1, 2, 1, 3, 6, 1, 6, 6, 1, 7, 7]","[1, 6, 2, 1, 2, 1, 3, 6, 1, 6, 1, 7]","[0, 30, 60, 165, 180, 270, 285, 390, 420, 450, 480, 510]"
2024-01-22,11.555555555555555,5621,533,"[1, 7, 6, 1, 3, 1, 6, 6, 7, 3, 6, 7, 7, 7, 1]","[1, 7, 6, 1, 3, 1, 6, 7, 3, 6, 7, 1]","[0, 30, 90, 135, 150, 240, 270, 300, 375, 405, 435, 525]"
2024-01-22,13.666666666666668,6075,583,"[4, 6, 3, 0, 0, 1, 6, 6, 1, 6, 1, 7, 1, 6, 1, 1]","[4, 6, 3, 0, 1, 6, 1, 6, 1, 7, 1, 6, 1]","[0, 30, 75, 165, 285, 315, 345, 375, 405, 435, 510, 525, 570]"
2024-01-22,15.777777777777779,3245,273,"[4, 6, 5, 1, 1, 6, 1, 1, 1, 6]","[4, 6, 5, 1, 6, 1, 6]","[0, 30, 75, 165, 180, 225, 240]"
2024-01-22,17.88888888888889,1886,189,"[1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 7]","[1, 7, 1, 7]","[0, 30, 90, 120]"
2024-01-22,20.0,3254,320,"[5, 1, 6, 1, 1, 7, 7, 3, 6, 6]","[5, 1, 6, 1, 7, 3, 6]","[0, 30, 45, 90, 105, 195, 285]"
