date,lambda,value,total_time,scheduled_plan,optimal_plan,time_schedule
2023-01-04,1.0,6107,712,"[7, 6, 7, 2, 4, 2, 7, 5, 4, 5, 7, 7, 5, 3, 7, 5, 0, 2, 2]","[7, 6, 7, 2, 4, 2, 7, 5, 4, 5, 7, 5, 3]","[0, 60, 120, 195, 270, 360, 435, 510, 525, 600, 615, 690, 705]"
2023-01-04,3.111111111111111,6083,717,"[2, 4, 7, 0, 5, 2, 5, 6, 5, 4, 6, 2, 2, 3]","[2, 4, 7, 0, 5, 2, 5, 6, 5, 4, 6, 2, 3]","[0, 30, 105, 195, 375, 435, 510, 540, 570, 585, 645, 690, 705]"
2023-01-04,5.222222222222222,5635,718,"[7, 2, 6, 2, 5, 4, 2, 5, 6, 3, 4, 0, 4, 4, 2, 7, 0]","[7, 2, 6, 2, 5, 4, 2, 5, 6, 3, 4, 4]","[0, 60, 165, 225, 315, 390, 480, 555, 570, 615, 690, 705]"
2023-01-04,7.333333333333334,6081,715,"[4, 6, 2, 7, 2, 3, 6, 5, 6, 5, 1, 2, 4, 5, 7, 1, 4, 6]","[4, 6, 2, 7, 2, 3, 6, 5, 6, 5, 1, 2, 4]","[0, 45, 90, 180, 240, 330, 420, 495, 510, 570, 585, 690, 705]"
2023-01-04,9.444444444444445,6503,711,"[4, 6, 4, 3, 5, 5, 6, 6, 5, 7, 7, 5, 6, 5, 7, 3, 5, 0]","[4, 6, 4, 3, 5, 6, 5, 7, 5, 6, 5, 7, 3, 5]","[0, 45, 90, 180, 285, 375, 435, 450, 540, 570, 600, 615, 690, 705]"
2023-01-04,11.555555555555555,6547,714,"[3, 4, 7, 2, 3, 3, 5, 6, 4, 6, 5, 6, 5, 4, 2, 1, 7, 6]","[3, 4, 7, 2, 3, 5, 6, 4, 6, 5, 6, 5, 4, 2]","[0, 90, 180, 240, 315, 420, 435, 510, 570, 615, 630, 675, 690, 705]"
2023-01-04,13.666666666666668,5138,609,"[0, 6, 2, 7, 2, 2, 6, 5, 7, 2, 5, 6, 6]","[0, 6, 2, 7, 2, 6, 5, 7, 2, 5, 6]","[0, 30, 75, 165, 240, 315, 390, 405, 480, 555, 585]"
2023-01-04,15.777777777777779,3287,447,"[2, 7, 7, 2, 6, 7, 7, 7, 3, 5]","[2, 7, 2, 6, 7, 3, 5]","[0, 30, 90, 180, 270, 345, 435]"
2023-01-04,17.88888888888889,3215,410,"[5, 6, 6, 5, 2, 2, 5, 2, 5, 5]","[5, 6, 5, 2, 5, 2, 5]","[0, 45, 75, 165, 240, 315, 405]"
2023-01-04,20.0,3257,430,"[7, 7, 5, 6, 2, 2, 4, 6, 6, 6, 6, 5, 5]","[7, 5, 6, 2, 4, 6, 5]","[0, 60, 135, 195, 270, 360, 420]"
