date,lambda,value,total_time,scheduled_plan,optimal_plan,time_schedule
2024-01-04,1.0,5615,718,"[5, 6, 0, 6, 2, 2, 7, 6, 4, 0, 5, 2, 3, 0, 6, 3, 3]","[5, 6, 0, 6, 2, 7, 6, 4, 0, 5, 2, 3]","[0, 30, 75, 255, 300, 420, 525, 570, 660, 675, 690, 705]"
2024-01-04,3.111111111111111,5169,714,"[6, 4, 7, 6, 5, 6, 2, 7, 1, 4, 2, 3, 0, 6, 4, 1, 2]","[6, 4, 7, 6, 5, 6, 2, 7, 4, 2, 3]","[0, 45, 180, 270, 300, 435, 465, 600, 675, 690, 705]"
2024-01-04,5.222222222222222,5168,711,"[3, 7, 6, 7, 1, 6, 4, 0, 2, 1, 3, 5, 6, 2, 6, 4]","[3, 7, 6, 7, 1, 6, 4, 0, 2, 3, 5]","[0, 120, 210, 240, 330, 480, 525, 645, 660, 690, 705]"
2024-01-04,7.333333333333334,5147,765,"[5, 4, 6, 4, 6, 5, 5, 3, 6, 7, 3, 1, 7, 2, 7, 7, 1, 0, 5, 7]","[5, 4, 6, 4, 6, 5, 3, 6, 7, 3, 7]","[0, 30, 150, 180, 330, 360, 465, 585, 630, 690, 705]"
2024-01-04,9.444444444444445,5581,716,"[7, 6, 5, 5, 6, 3, 6, 7, 6, 2, 4, 5, 0, 5, 0, 4, 5, 7, 2, 1]","[7, 6, 5, 6, 3, 6, 7, 6, 2, 4, 5, 5]","[0, 60, 90, 210, 255, 375, 420, 510, 555, 675, 690, 705]"
2024-01-04,11.555555555555555,3278,565,"[5, 2, 6, 4, 4, 2, 6, 6, 6, 7]","[5, 2, 6, 4, 2, 6, 7]","[0, 30, 150, 195, 330, 435, 480]"
2024-01-04,13.666666666666668,5113,717,"[2, 7, 6, 5, 1, 5, 6, 2, 5, 1, 2, 0, 2, 0, 7, 6, 3, 2]","[2, 7, 6, 5, 1, 5, 6, 2, 5, 2, 2]","[0, 105, 210, 240, 345, 510, 615, 660, 675, 690, 705]"
2024-01-04,15.777777777777779,5223,717,"[7, 3, 6, 2, 3, 7, 4, 0, 1, 2, 4, 0, 4, 4, 2, 2, 7, 5]","[7, 3, 6, 2, 3, 7, 4, 0, 2, 4, 4]","[0, 60, 195, 240, 345, 465, 570, 645, 675, 690, 705]"
2024-01-04,17.88888888888889,4688,687,"[2, 7, 7, 6, 7, 6, 7, 2, 6, 2, 5]","[2, 7, 6, 7, 6, 7, 2, 6, 2, 5]","[0, 105, 210, 240, 330, 375, 495, 615, 660, 675]"
2024-01-04,20.0,3273,589,"[4, 3, 3, 6, 2, 2, 6, 6, 6, 1, 6]","[4, 3, 6, 2, 6, 1, 6]","[0, 45, 195, 225, 345, 375, 555]"
