date,lambda,value,total_time,scheduled_plan,optimal_plan,time_schedule
2024-02-02,1.0,7062,657,"[5, 1, 6, 4, 1, 6, 4, 6, 4, 4, 7, 0, 7, 2, 4, 3]","[5, 1, 6, 4, 1, 6, 4, 6, 4, 7, 0, 7, 2, 4, 3]","[0, 30, 45, 90, 105, 135, 165, 180, 225, 240, 330, 510, 615, 630, 645]"
2024-02-02,3.111111111111111,6596,700,"[6, 1, 4, 6, 1, 4, 7, 1, 4, 3, 2, 1, 7, 2]","[6, 1, 4, 6, 1, 4, 7, 1, 4, 3, 2, 1, 7, 2]","[0, 45, 60, 90, 120, 150, 165, 255, 285, 300, 450, 600, 615, 690]"
2024-02-02,5.222222222222222,7025,696,"[5, 4, 6, 7, 4, 6, 4, 2, 1, 2, 1, 6, 3, 1, 0, 0, 5, 3]","[5, 4, 6, 7, 4, 6, 4, 2, 1, 2, 1, 6, 3, 5, 3]","[0, 30, 45, 90, 195, 210, 240, 270, 405, 435, 585, 615, 645, 675, 690]"
2024-02-02,7.333333333333334,7542,697,"[1, 4, 2, 4, 6, 3, 4, 6, 1, 7, 1, 2, 6, 0, 3, 4]","[1, 4, 2, 4, 6, 3, 4, 6, 1, 7, 1, 2, 6, 0, 3, 4]","[0, 30, 45, 195, 210, 240, 390, 405, 435, 465, 570, 600, 615, 645, 675, 690]"
2024-02-02,9.444444444444445,4693,282,"[2, 7, 1, 6, 4, 1, 6, 1, 4, 4, 1]","[2, 7, 1, 6, 4, 1, 6, 1, 4, 1]","[0, 30, 90, 105, 150, 165, 195, 225, 255, 270]"
2024-02-02,11.555555555555555,4727,273,"[2, 4, 7, 1, 6, 4, 4, 1, 4, 1, 4]","[2, 4, 7, 1, 6, 4, 1, 4, 1, 4]","[0, 30, 45, 120, 150, 180, 195, 225, 240, 255]"
2024-02-02,13.666666666666668,8422,642,"[2, 4, 1, 6, 4, 6, 1, 6, 4, 5, 1, 1, 4, 5, 4, 6, 1, 4, 6]","[2, 4, 1, 6, 4, 6, 1, 6, 4, 5, 1, 4, 5, 4, 6, 1, 4, 6]","[0, 30, 45, 75, 105, 120, 165, 180, 225, 240, 345, 375, 390, 510, 540, 570, 600, 615]"
2024-02-02,15.777777777777779,3774,383,"[2, 6, 6, 1, 4, 1, 3, 7, 7, 4]","[2, 6, 1, 4, 1, 3, 7, 4]","[0, 30, 60, 90, 105, 135, 270, 375]"
2024-02-02,17.88888888888889,3782,238,"[2, 4, 4, 1, 6, 4, 7, 4, 4, 1]","[2, 4, 1, 6, 4, 7, 4, 1]","[0, 30, 45, 75, 105, 120, 210, 225]"
2024-02-02,20.0,3746,347,"[1, 4, 7, 6, 1, 1, 1, 4, 4, 5, 1]","[1, 4, 7, 6, 1, 4, 5, 1]","[0, 30, 45, 120, 165, 180, 195, 330]"
