時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,180,110,40,65,5,5,0,5
15,200,140,55,100,15,15,0,20
30,180,140,70,120,90,50,0,30
45,170,140,100,130,110,70,0,35
60,170,150,120,140,110,80,15,35
75,180,160,130,140,120,90,15,60
90,180,170,130,140,125,100,15,80
105,180,180,140,160,115,100,15,60
120,190,190,130,160,120,100,15,35
135,190,190,130,160,120,90,15,20
150,190,180,110,150,125,85,25,35
165,170,170,110,150,120,85,30,60
180,170,170,100,130,140,85,40,50
195,180,160,100,120,140,85,25,30
210,150,160,100,120,170,90,30,45
225,150,160,90,120,170,85,35,20
240,160,160,90,125,180,85,35,30
255,150,160,90,125,150,85,40,35
270,160,155,95,130,155,100,45,35
285,170,0,100,125,150,100,30,50
300,180,0,100,135,140,100,35,55
315,180,0,105,125,140,100,35,50
330,180,0,110,130,120,90,35,60
345,170,0,115,135,120,80,35,45
360,170,0,125,140,100,85,50,45
375,185,0,115,135,105,90,40,45
390,185,0,110,135,120,110,40,55
405,180,0,110,0,130,100,35,45
420,180,0,100,0,130,90,30,45
435,180,70,90,0,135,90,30,50
450,170,130,90,0,140,85,30,50
465,160,130,100,0,140,100,30,35
480,155,120,120,0,140,100,30,50
495,150,140,110,0,130,100,30,50
510,150,185,110,0,130,95,20,55
525,160,185,110,0,130,95,30,35
540,150,185,105,0,130,90,15,45
555,140,170,80,0,130,90,30,35
570,130,160,60,0,110,80,15,25
585,120,150,60,90,95,80,15,15
600,110,130,60,70,95,65,15,15
615,100,100,60,0,85,55,15,15
630,90,20,60,0,95,45,15,15
645,0,70,45,0,65,45,15,20
660,0,85,45,0,0,50,15,20
675,0,50,0,0,0,55,15,20
690,0,40,0,0,0,0,0,20
705,0,0,0,0,0,0,0,20
