時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,5,100,25,30,5,5,0,20
15,130,135,35,55,5,5,0,20
30,170,135,45,90,20,15,0,15
45,165,145,65,90,30,40,0,20
60,160,155,80,95,100,45,0,50
75,160,145,90,100,110,50,0,50
90,160,130,95,105,110,60,0,50
105,145,130,95,110,110,70,0,45
120,140,110,95,110,90,65,0,30
135,140,110,100,110,80,65,0,45
150,120,95,90,100,80,55,0,45
165,130,95,90,100,80,55,0,35
180,145,105,90,100,90,55,0,50
195,145,110,85,100,90,50,0,50
210,140,115,100,85,95,55,0,35
225,140,115,95,85,100,65,0,45
240,125,110,80,90,90,65,0,45
255,125,115,80,100,90,65,0,45
270,125,115,70,105,95,75,0,45
285,125,115,80,105,95,80,0,45
300,135,110,85,95,85,75,0,45
315,140,120,85,95,75,75,0,60
330,140,120,80,100,85,75,0,50
345,150,120,90,100,90,70,0,50
360,145,110,100,85,100,70,0,45
375,145,95,100,90,100,70,0,50
390,145,95,90,105,100,70,0,50
405,145,105,90,110,100,70,0,60
420,150,130,90,110,95,70,0,55
435,140,130,90,100,95,65,0,65
450,140,130,90,95,90,60,0,50
465,135,115,90,95,85,60,0,60
480,125,110,95,90,85,60,0,35
495,125,110,95,95,80,60,0,50
510,130,110,95,105,80,60,0,60
525,140,0,100,100,75,60,0,50
540,125,0,95,85,70,60,0,45
555,120,0,90,80,60,55,0,45
570,120,0,85,70,60,35,0,45
585,125,0,85,65,60,35,0,45
600,0,0,90,100,70,45,0,50
615,0,0,85,75,70,45,0,50
630,0,0,75,80,70,40,0,50
645,0,60,70,70,60,45,0,30
660,0,60,65,70,60,45,0,30
675,0,80,0,0,45,35,0,15
690,0,70,0,0,35,25,0,20
705,0,0,0,0,0,0,0,20
