時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,135,150,5,60,5,5,0,5
15,150,160,50,75,20,5,0,20
30,180,150,60,80,50,30,0,35
45,170,160,60,90,75,65,0,45
60,170,160,65,100,95,75,0,45
75,170,150,75,110,110,85,0,55
90,160,140,70,105,110,65,0,60
105,150,130,60,105,105,60,0,60
120,150,130,65,105,100,60,0,50
135,160,115,75,105,100,65,0,45
150,160,90,75,105,95,60,0,50
165,160,90,75,95,95,65,0,45
180,160,115,65,95,85,70,0,35
195,160,130,55,90,85,70,0,50
210,140,145,65,90,95,70,0,50
225,135,145,70,80,95,70,0,60
240,135,145,70,90,95,70,0,60
255,130,140,65,100,105,70,0,45
270,135,140,55,95,110,70,0,40
285,150,140,50,95,110,70,0,40
300,150,140,55,100,105,75,0,60
315,160,140,55,110,95,85,0,50
330,160,130,55,95,90,75,0,65
345,170,110,50,80,80,75,0,60
360,160,110,50,85,80,75,0,70
375,160,100,50,90,85,90,0,75
390,170,110,50,90,95,90,0,75
405,170,120,60,95,95,90,0,75
420,160,120,60,95,100,75,0,65
435,150,120,65,90,100,80,0,50
450,140,120,60,95,95,80,0,50
465,140,120,55,100,100,75,0,35
480,140,120,55,100,100,75,0,65
495,140,110,55,100,80,70,0,60
510,130,100,55,90,80,70,0,60
525,130,95,55,85,85,70,0,60
540,130,100,55,85,85,55,0,60
555,125,100,60,80,80,45,0,60
570,125,105,60,75,70,45,0,45
585,120,100,45,75,65,45,0,30
600,120,95,25,70,55,50,0,20
615,110,85,30,65,40,45,0,20
630,100,85,25,65,35,30,0,20
645,0,85,30,60,40,40,0,20
660,0,0,40,70,0,45,0,30
675,0,0,45,0,0,0,0,30
690,0,0,0,0,0,0,0,30
705,0,0,0,0,0,0,0,20
