時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,90,85,5,0,5,5,0,10
15,110,85,55,0,5,5,0,15
30,145,140,75,0,20,5,0,15
45,160,145,85,0,60,40,0,20
60,130,145,90,0,80,60,0,35
75,145,145,90,0,90,65,0,45
90,145,155,95,0,90,75,0,50
105,145,130,100,0,90,80,0,60
120,150,120,105,0,95,85,0,35
135,145,115,105,0,95,80,0,30
150,145,115,100,0,95,80,0,45
165,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0
195,160,100,90,0,95,70,0,45
210,160,120,90,0,95,70,0,40
225,160,120,85,0,90,70,0,35
240,160,110,85,0,90,75,0,50
255,170,100,85,0,90,80,0,50
270,170,100,85,0,95,80,0,55
285,150,105,95,0,95,80,0,55
300,150,110,95,0,95,90,0,45
315,140,100,95,0,95,80,0,45
330,150,105,95,0,95,80,0,50
345,145,110,95,0,95,80,0,55
360,145,120,95,0,95,75,0,50
375,135,125,95,0,95,70,0,0
390,145,140,95,0,95,75,0,0
405,160,125,105,0,95,75,0,5
420,155,115,100,0,100,75,0,50
435,155,115,100,0,100,80,0,60
450,155,105,100,0,100,80,0,60
465,155,115,100,0,95,80,0,45
480,150,125,95,0,95,75,0,45
495,130,120,90,0,85,70,0,50
510,130,105,95,0,85,70,0,50
525,130,105,110,0,85,70,0,50
540,125,100,110,0,80,65,0,35
555,110,100,95,0,70,60,0,35
570,110,90,85,0,55,50,0,35
585,110,80,75,0,40,45,0,35
600,110,80,85,0,40,35,0,30
615,100,80,85,0,40,35,0,15
630,0,70,70,0,35,40,0,15
645,0,55,70,0,40,40,0,15
660,0,0,0,0,55,45,0,30
675,0,0,0,0,0,0,0,35
690,0,0,0,0,0,0,0,30
705,0,0,0,0,0,0,0,20
