時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,110,0,15,20,5,5,0,5
15,160,80,40,95,15,5,0,20
30,125,135,85,170,60,15,0,15
45,125,170,95,150,70,60,0,30
60,160,180,120,155,110,75,5,50
75,220,130,115,135,110,80,15,60
90,250,130,115,135,130,85,15,65
105,250,130,125,135,130,85,15,50
120,200,145,135,135,120,80,15,35
135,190,135,135,145,120,80,15,20
150,175,125,160,160,120,70,25,25
165,155,130,180,145,120,85,30,45
180,180,130,225,150,110,85,30,30
195,140,125,215,135,110,85,35,30
210,150,130,165,185,110,85,30,45
225,150,130,180,145,120,75,35,35
240,140,120,180,145,120,75,35,50
255,160,120,180,130,130,70,40,35
270,150,160,180,135,130,65,40,35
285,160,150,140,145,130,65,35,35
300,160,150,130,155,120,80,30,40
315,160,140,120,150,120,85,35,35
330,170,140,110,140,115,90,35,45
345,170,140,110,140,120,90,35,60
360,160,140,110,140,120,90,40,40
375,160,130,110,140,125,100,40,30
390,150,130,95,140,130,100,45,35
405,150,150,95,120,130,95,30,30
420,150,125,135,135,130,90,40,35
435,150,125,135,135,120,90,45,35
450,150,120,140,135,110,65,25,35
465,160,135,135,155,110,60,25,35
480,150,135,130,155,95,65,25,30
495,150,135,125,150,90,65,25,45
510,155,125,125,150,85,65,25,30
525,165,95,125,140,90,70,25,40
540,155,95,120,115,95,70,25,30
555,135,85,110,110,90,60,15,30
570,125,80,105,110,75,55,15,15
585,120,75,100,105,70,50,15,20
600,100,70,90,85,65,40,15,15
615,95,65,90,80,45,35,15,20
630,95,60,80,70,50,25,15,15
645,0,60,75,60,50,40,15,15
660,0,70,0,60,60,45,15,20
675,0,70,0,50,0,40,15,20
690,0,0,0,0,0,30,0,15
705,0,0,0,0,0,30,0,15
