時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,100,90,5,0,5,5,0,15
15,150,120,50,0,5,5,0,15
30,150,90,90,0,30,15,0,15
45,160,120,95,0,60,45,0,20
60,160,130,100,0,90,60,0,35
75,160,110,95,0,95,75,0,50
90,140,110,85,0,95,80,0,50
105,120,110,85,0,95,70,0,35
120,120,105,90,0,95,75,0,30
135,120,105,95,0,80,70,0,45
150,120,110,90,0,80,65,0,35
165,120,100,90,0,80,60,0,45
180,130,95,95,0,75,55,0,45
195,130,90,95,0,70,60,0,60
210,130,115,95,0,80,65,0,60
225,130,115,95,0,85,65,0,50
240,130,115,85,0,85,60,0,35
255,130,115,85,0,90,70,0,30
270,130,110,85,0,90,70,0,35
285,130,110,85,0,90,75,0,50
300,140,95,85,0,90,80,0,50
315,145,100,90,0,90,80,0,60
330,145,125,90,0,90,80,0,50
345,145,115,90,0,90,80,0,50
360,140,115,95,0,100,80,0,50
375,135,115,105,0,100,80,0,50
390,130,110,110,0,100,75,0,50
405,130,110,100,0,100,75,0,50
420,135,115,100,0,100,70,0,45
435,135,115,100,0,100,75,0,45
450,140,115,105,0,85,85,0,45
465,140,115,105,0,85,85,0,50
480,140,110,105,0,85,70,0,45
495,140,110,105,0,75,60,0,45
510,145,110,105,0,70,60,0,50
525,145,95,105,0,70,65,0,50
540,145,90,105,0,70,65,0,35
555,135,90,85,0,60,60,0,35
570,115,85,85,0,75,60,0,40
585,110,85,75,0,75,50,0,30
600,100,85,75,0,75,50,0,15
615,100,75,65,0,75,40,0,15
630,95,65,60,0,60,35,0,15
645,0,65,75,0,35,30,0,15
660,0,0,0,0,45,40,0,20
675,0,0,0,0,0,55,0,20
690,0,0,0,0,0,0,0,15
705,0,0,0,0,0,0,0,25
