時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,110,55,40,80,5,5,0,15
15,115,80,50,100,35,5,0,15
30,110,95,90,100,75,55,0,15
45,130,110,85,90,80,70,0,25
60,135,100,110,0,90,80,15,55
75,130,120,120,0,120,80,15,50
90,125,130,130,0,110,85,15,55
105,130,140,135,0,110,110,15,35
120,130,130,130,0,125,100,30,45
135,145,120,130,0,125,100,30,45
150,135,100,110,70,125,90,25,50
165,130,105,90,120,105,90,30,35
180,120,115,90,150,105,90,35,20
195,130,115,90,130,105,85,35,30
210,140,80,105,115,105,85,30,35
225,125,80,105,110,105,75,30,30
240,125,90,105,115,105,75,15,45
255,125,135,105,115,105,80,15,45
270,120,135,105,115,105,80,30,45
285,115,140,120,125,105,80,25,30
300,115,135,120,130,120,85,30,30
315,125,115,110,130,120,85,35,30
330,135,110,100,135,125,85,35,40
345,145,100,115,135,120,85,35,45
360,140,95,115,120,120,85,30,50
375,150,95,120,125,120,85,35,45
390,140,130,115,130,140,85,30,40
405,130,125,120,130,0,85,35,35
420,140,125,115,140,0,100,30,40
435,150,110,115,150,0,130,30,50
450,140,105,125,150,0,130,30,35
465,145,115,130,145,0,120,35,40
480,145,115,140,145,0,120,35,35
495,145,115,140,140,0,110,15,50
510,145,120,130,130,0,100,15,45
525,145,100,120,140,60,90,15,40
540,145,120,120,130,160,90,15,30
555,140,100,120,130,150,90,15,20
570,130,95,110,125,120,90,25,20
585,120,85,105,125,120,90,15,20
600,120,90,105,125,130,80,15,15
615,110,85,95,125,120,75,15,20
630,105,70,85,115,105,70,15,20
645,0,65,85,0,0,60,15,20
660,0,65,0,0,0,55,15,20
675,0,0,0,0,0,0,15,20
690,0,0,0,0,0,0,0,20
705,0,0,0,0,0,0,0,20
