時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,140,130,5,65,10,5,0,15
15,120,130,50,70,20,5,0,20
30,110,115,75,70,45,30,0,15
45,110,120,85,75,75,70,0,35
60,110,120,85,85,80,70,15,50
75,110,130,85,95,70,70,20,45
90,125,115,85,105,70,70,20,45
105,125,115,90,100,65,55,40,45
120,125,105,95,95,65,55,25,45
135,105,105,95,90,65,50,30,30
150,105,105,95,90,75,55,35,45
165,105,105,75,90,85,60,35,50
180,105,105,75,90,85,55,40,35
195,105,95,85,90,80,55,20,35
210,95,95,85,100,70,50,35,35
225,95,100,85,100,65,50,35,65
240,115,95,80,100,65,55,35,45
255,115,95,75,100,60,55,35,50
270,120,90,85,105,65,55,35,45
285,120,105,90,90,75,65,40,45
300,120,105,90,90,85,65,40,45
315,120,105,90,85,85,65,45,50
330,105,130,90,85,75,70,45,40
345,105,140,90,95,70,70,45,45
360,95,140,80,90,65,70,40,35
375,95,140,85,90,65,70,20,45
390,130,0,85,90,65,75,45,60
405,140,0,85,95,75,75,45,50
420,140,0,80,85,100,75,40,50
435,140,0,80,85,95,80,30,45
450,130,80,105,90,80,70,40,45
465,130,105,100,95,75,65,45,45
480,140,120,100,100,70,65,40,65
495,140,140,95,100,65,70,40,65
510,130,140,105,85,65,75,30,35
525,130,150,95,85,60,70,30,40
540,0,0,0,0,0,0,0,0
555,115,135,90,75,70,60,30,30
570,125,110,80,75,65,50,30,45
585,0,0,0,0,0,0,0,0
600,115,85,80,70,40,55,15,35
615,100,75,70,65,20,55,30,20
630,85,65,70,40,35,40,30,20
645,0,60,65,45,35,35,25,20
660,0,0,60,60,30,25,25,20
675,0,0,0,0,40,0,15,30
690,0,60,0,0,0,0,15,30
705,0,0,0,0,0,0,0,15
