時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,100,90,5,50,5,5,0,5
15,120,100,80,80,5,20,0,20
30,125,95,65,85,40,45,0,20
45,125,90,75,95,80,50,0,20
60,115,100,75,95,90,50,15,35
75,140,105,80,90,90,60,15,35
90,140,110,80,100,90,60,20,45
105,140,95,80,105,95,60,20,35
120,110,95,90,105,90,65,25,30
135,100,90,80,110,80,65,25,30
150,90,95,85,110,50,60,30,30
165,130,95,80,95,50,60,35,30
180,130,115,80,85,60,55,20,40
195,90,115,80,85,80,55,25,40
210,0,0,0,0,0,0,0,0
225,110,105,75,100,95,60,25,35
240,125,95,75,100,90,65,30,45
255,105,85,80,100,75,65,35,45
270,0,0,0,0,0,0,0,0
285,110,100,100,110,80,60,25,35
300,110,100,100,90,70,65,30,40
315,110,100,90,100,70,70,35,50
330,120,110,85,110,70,70,30,35
345,130,115,90,110,70,70,35,50
360,120,110,90,100,75,70,35,50
375,125,100,90,100,80,60,45,35
390,120,90,90,100,80,65,40,50
405,105,85,90,90,85,70,35,50
420,100,95,90,90,85,75,25,30
435,115,105,90,95,75,75,35,45
450,125,105,100,95,55,75,40,45
465,125,110,100,95,55,65,35,35
480,115,110,85,105,60,65,40,50
495,120,110,85,105,60,60,35,50
510,130,105,90,105,75,60,25,35
525,130,100,90,100,75,60,15,45
540,130,95,90,95,60,60,25,30
555,130,90,90,85,45,60,25,30
570,110,85,100,85,55,55,15,30
585,110,85,80,85,60,55,20,35
600,100,85,70,85,40,55,15,20
615,95,80,60,70,35,50,15,15
630,90,60,65,70,35,40,25,15
645,80,45,65,60,20,35,25,20
660,0,40,70,50,15,30,15,20
675,0,0,0,0,0,0,0,0
690,0,0,0,0,0,0,25,15
705,0,0,0,0,0,0,0,15
