時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,100,110,40,45,5,5,0,15
15,100,120,50,55,10,10,0,15
30,90,90,45,45,30,35,0,15
45,80,70,30,40,50,35,0,35
60,70,65,30,35,40,45,15,35
75,65,60,40,40,35,40,15,20
90,60,45,40,35,25,35,20,20
105,60,40,30,35,20,25,20,30
120,70,50,30,40,20,25,25,15
135,65,55,30,35,25,25,15,20
150,60,50,25,30,20,30,35,20
165,60,55,35,30,20,35,0,0
180,65,50,45,30,20,35,0,0
195,65,45,35,30,25,40,0,0
210,50,45,35,35,30,35,0,0
225,50,45,35,35,30,40,15,20
240,60,50,15,30,35,25,15,15
255,65,50,30,30,35,20,20,20
270,55,50,35,30,25,25,20,35
285,60,40,30,30,25,20,25,40
300,55,50,30,25,30,30,15,30
315,50,50,20,25,30,35,15,20
330,50,50,15,25,30,25,15,20
345,50,45,20,30,0,30,20,20
360,50,50,30,30,0,35,25,35
375,50,0,30,30,0,35,25,20
390,75,0,35,25,0,30,20,35
405,75,0,35,30,0,30,30,45
420,75,0,35,40,0,30,30,30
435,70,0,35,35,0,30,30,30
450,70,0,30,30,5,20,15,30
465,60,0,25,30,30,10,20,35
480,40,0,25,25,80,20,25,20
495,60,0,30,30,75,30,15,35
510,60,0,30,25,45,35,20,35
525,60,0,20,20,40,30,15,20
540,60,25,15,25,60,15,15,20
555,60,60,15,25,40,10,25,20
570,45,65,30,25,10,10,25,30
585,55,55,25,15,20,15,20,20
600,50,55,25,15,35,20,15,20
615,45,50,25,15,25,10,20,20
630,30,50,15,15,5,5,20,20
645,35,40,15,15,5,5,20,20
660,35,40,15,10,5,5,25,20
675,20,35,15,10,5,5,15,20
690,20,30,10,5,5,5,15,20
705,0,0,10,10,5,5,0,20
