時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,80,25,5,45,5,5,0,5
15,130,70,40,60,10,5,0,20
30,130,80,60,65,40,15,0,20
45,145,85,60,65,55,45,0,20
60,125,80,70,90,60,60,5,45
75,115,85,75,90,50,55,5,35
90,90,80,75,100,55,55,15,40
105,85,85,75,100,60,45,15,20
120,95,80,65,90,65,50,15,20
135,105,70,55,80,60,45,15,20
150,100,65,55,80,55,45,15,20
165,95,65,55,75,40,45,15,25
180,90,65,55,75,40,45,15,20
195,80,60,55,75,45,45,15,20
210,80,55,50,65,60,45,15,20
225,95,60,50,60,60,45,15,15
240,95,60,50,65,65,40,15,15
255,95,65,55,70,50,35,15,15
270,110,65,55,75,45,40,15,35
285,115,60,55,80,40,40,15,20
300,110,60,55,90,45,40,15,20
315,110,65,55,90,50,45,15,20
330,100,75,60,85,55,60,15,20
345,90,70,55,90,60,50,15,40
360,85,70,55,85,55,45,15,30
375,85,85,55,75,50,45,15,15
390,95,85,55,70,50,45,15,30
405,110,70,55,70,60,35,30,15
420,100,60,45,75,55,45,25,30
435,100,60,45,75,55,50,15,35
450,110,70,50,60,55,45,15,30
465,110,65,55,60,55,50,15,25
480,105,65,65,65,50,50,25,35
495,105,80,65,55,50,50,25,20
510,115,70,60,55,45,50,25,20
525,110,65,55,60,40,45,15,20
540,105,60,55,55,45,40,15,20
555,95,60,50,50,45,40,15,20
570,90,45,40,40,45,30,15,20
585,90,35,45,45,20,35,15,20
600,90,60,55,50,25,25,15,20
615,90,65,60,55,35,25,15,20
630,90,65,60,45,45,45,15,15
645,80,55,45,45,40,45,15,15
660,0,50,40,40,35,35,15,15
675,0,45,35,40,35,25,15,15
690,0,40,40,35,15,30,0,20
705,0,0,0,0,15,0,0,15
