時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,95,60,45,35,5,0,0,15
15,95,60,45,45,15,0,0,20
30,120,110,50,55,35,0,0,15
45,120,130,60,60,50,10,0,20
60,120,130,55,65,45,65,15,20
75,120,120,55,65,40,65,15,35
90,110,115,55,75,50,55,25,45
105,90,70,65,75,50,40,20,30
120,75,60,70,60,50,50,30,45
135,70,70,60,60,50,50,30,30
150,80,75,60,60,55,50,30,30
165,85,75,50,60,55,45,20,35
180,95,55,50,60,55,45,15,35
195,95,60,50,60,55,45,25,35
210,95,60,40,55,50,40,25,35
225,95,60,40,55,45,40,25,30
240,85,55,40,45,45,40,30,40
255,70,55,45,45,40,50,20,30
270,70,65,50,50,35,50,25,35
285,85,75,55,50,40,40,25,35
300,85,70,55,50,50,45,25,30
315,85,75,55,45,50,55,15,35
330,85,65,50,50,55,50,15,20
345,85,70,55,50,65,45,15,30
360,80,70,55,50,60,40,25,50
375,75,65,45,45,50,35,20,50
390,85,70,50,50,45,40,20,50
405,90,70,50,55,40,40,20,30
420,90,70,55,55,35,55,15,35
435,75,65,50,50,35,50,15,30
450,65,60,50,45,35,50,20,35
465,60,50,40,40,40,40,25,20
480,60,50,40,35,30,40,25,20
495,60,55,40,35,30,35,15,25
510,60,0,40,40,30,30,15,15
525,0,0,0,0,30,30,25,15
540,0,0,0,0,30,35,0,15
555,0,0,0,0,0,0,0,10
570,0,0,0,0,0,0,0,0
585,0,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0,0
615,0,0,0,0,0,0,0,0
630,5,5,5,5,5,5,5,5
645,35,5,5,5,5,5,25,15
660,30,15,10,5,5,5,15,20
675,30,20,10,5,5,5,15,20
690,35,30,20,25,5,5,15,15
705,30,30,15,5,5,5,25,15
