時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,75,40,45,0,5,5,0,5
15,90,55,55,0,5,5,0,20
30,60,65,45,0,25,5,0,20
45,65,60,50,0,50,5,0,20
60,80,70,50,0,55,15,5,20
75,90,75,50,0,55,20,15,20
90,85,75,55,0,50,30,15,25
105,75,70,65,0,50,30,15,30
120,75,45,50,0,50,20,15,15
135,50,45,40,0,60,15,15,15
150,50,40,40,0,50,50,15,15
165,75,50,40,0,45,50,15,15
180,75,50,35,0,45,45,15,15
195,75,50,40,0,45,45,15,15
210,70,40,40,0,50,35,15,15
225,70,40,40,0,50,30,15,20
240,80,55,50,0,55,30,15,15
255,80,55,55,0,65,30,15,20
270,80,55,55,0,65,20,15,20
285,80,55,45,0,65,5,15,20
300,85,55,45,0,65,5,15,20
315,85,55,50,0,55,10,15,20
330,70,60,50,0,65,40,15,20
345,70,65,55,0,65,45,15,20
360,75,65,60,0,55,45,15,15
375,85,60,55,0,55,45,15,15
390,80,60,50,0,65,50,15,15
405,80,65,50,0,70,40,15,15
420,70,60,50,0,65,35,15,15
435,65,55,45,0,50,40,15,15
450,65,55,50,0,45,40,15,15
465,70,55,50,0,40,45,15,15
480,85,60,45,0,40,45,15,15
495,75,50,35,0,45,35,15,20
510,70,50,35,0,40,35,15,15
525,70,40,45,0,35,45,15,20
540,65,55,50,0,45,45,15,15
555,55,50,45,0,50,45,15,15
570,50,45,40,0,40,45,15,15
585,50,40,45,0,35,35,15,20
600,50,35,45,0,30,35,15,20
615,45,30,45,0,20,20,15,20
630,30,25,25,0,15,25,15,20
645,30,20,35,0,5,15,15,10
660,50,40,40,0,5,10,15,15
675,50,40,40,0,15,15,15,20
690,35,35,30,0,15,30,0,15
705,30,25,25,0,10,0,0,15
