時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,130,80,25,0,15,20,0,20
15,130,125,75,0,55,45,0,10
30,140,125,90,0,95,70,0,35
45,145,145,100,0,100,80,0,45
60,155,155,110,0,105,75,15,60
75,145,150,110,0,120,80,15,60
90,145,135,85,0,120,70,15,45
105,130,135,85,0,110,60,15,30
120,130,150,75,0,100,75,15,30
135,130,110,75,0,95,75,30,35
150,120,100,60,0,100,70,15,50
165,100,90,70,0,100,75,15,50
180,120,95,80,0,100,65,30,35
195,125,105,75,0,100,70,30,30
210,130,115,65,0,90,70,30,30
225,125,115,65,0,90,65,35,40
240,135,120,55,0,95,65,35,30
255,135,115,65,0,95,65,40,45
270,135,115,65,0,90,65,25,45
285,135,105,65,0,95,65,20,45
300,125,105,55,0,105,80,45,50
315,125,110,55,0,110,85,35,35
330,125,110,55,0,130,100,35,50
345,130,115,55,0,110,100,35,50
360,135,115,55,0,110,100,35,50
375,130,105,55,0,110,85,35,45
390,145,120,65,0,110,80,45,45
405,145,120,65,0,100,80,25,45
420,145,125,65,0,100,80,35,45
435,125,125,60,0,105,75,25,45
450,135,125,60,0,100,75,30,45
465,145,135,65,0,100,80,35,45
480,150,140,65,0,100,85,40,45
495,145,125,60,0,105,85,35,45
510,135,110,55,0,105,85,35,40
525,135,100,55,0,105,80,40,35
540,130,90,60,0,75,80,45,35
555,130,90,60,0,75,75,45,30
570,130,100,55,0,75,70,25,20
585,125,90,50,0,70,55,25,20
600,120,85,50,0,70,45,25,15
615,115,80,50,0,65,45,15,15
630,115,80,40,0,70,50,15,15
645,0,70,35,0,65,50,15,10
660,0,0,40,0,55,40,15,10
675,0,0,0,0,0,50,15,35
690,0,0,0,0,0,0,0,15
705,0,0,0,0,0,0,0,20
