時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,110,120,5,0,10,5,0,5
15,140,130,130,0,40,0,0,15
30,150,120,100,0,80,0,0,35
45,160,115,100,0,80,0,0,45
60,170,120,110,0,100,0,5,45
75,180,140,110,0,110,25,5,50
90,185,160,115,0,100,70,5,50
105,185,160,105,0,110,110,25,50
120,180,160,125,0,110,100,30,35
135,175,150,125,0,120,80,30,35
150,165,130,125,0,120,70,25,40
165,160,120,125,0,130,70,35,50
180,150,115,90,0,150,80,30,35
195,140,120,70,0,140,80,30,35
210,135,120,60,0,130,80,30,35
225,135,110,75,0,130,80,35,35
240,140,100,75,0,130,80,45,40
255,145,105,75,0,130,80,40,45
270,140,120,75,0,120,100,35,30
285,150,130,80,0,120,100,35,40
300,180,135,85,0,120,110,45,45
315,160,135,100,0,110,110,45,45
330,155,120,105,0,110,120,45,50
345,155,120,90,0,120,130,45,45
360,170,120,85,0,120,140,35,45
375,165,115,85,0,120,120,40,45
390,160,105,85,0,115,110,35,45
405,160,110,75,0,100,110,50,50
420,160,110,75,0,100,90,30,45
435,145,125,140,0,110,90,30,35
450,150,145,150,0,120,100,45,50
465,150,145,150,0,120,100,50,35
480,150,140,70,0,110,110,30,45
495,135,125,60,0,105,95,30,35
510,135,110,85,0,110,95,30,45
525,140,100,90,0,110,95,25,45
540,130,100,110,0,105,80,25,40
555,130,95,105,0,80,80,25,30
570,130,100,90,0,70,80,25,30
585,115,100,80,0,60,80,15,15
600,110,90,75,0,60,65,15,15
615,100,60,65,0,55,60,15,20
630,95,55,65,0,65,60,15,20
645,85,55,50,0,65,65,15,20
660,0,0,50,0,55,55,15,20
675,0,0,60,0,0,50,15,20
690,0,0,0,0,0,0,0,20
705,0,0,0,0,0,0,0,20
