時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,90,90,30,25,0,5,0,15
15,140,120,30,60,0,5,0,15
30,140,150,80,80,0,10,0,15
45,140,140,90,85,10,30,0,20
60,135,140,85,90,60,50,25,50
75,130,115,85,100,80,55,15,65
90,140,110,75,95,90,55,20,50
105,140,110,80,95,110,55,25,45
120,140,110,100,95,105,60,25,45
135,120,95,95,95,90,70,30,30
150,110,95,80,95,75,65,30,40
165,110,95,75,95,65,60,35,35
180,120,90,80,90,70,60,40,30
195,125,75,80,75,70,55,40,45
210,130,115,80,70,75,60,45,45
225,140,115,75,75,80,60,35,50
240,120,125,75,80,85,55,30,65
255,110,105,75,80,85,50,30,50
270,125,110,75,90,80,50,40,50
285,135,110,80,90,75,50,45,45
300,135,100,75,80,80,60,50,60
315,0,0,0,0,0,0,0,0
330,135,120,80,70,85,70,45,45
345,130,115,75,80,95,70,35,50
360,130,115,85,80,95,70,35,45
375,120,110,85,100,95,65,40,60
390,130,110,85,95,80,60,45,50
405,130,110,85,95,75,65,50,60
420,130,110,80,90,80,70,50,60
435,130,115,80,85,75,60,40,75
450,145,125,80,85,70,55,35,60
465,145,125,80,95,70,50,30,45
480,145,125,80,85,70,60,40,45
495,145,115,90,90,70,0,30,65
510,140,120,90,80,85,0,35,50
525,135,120,95,80,90,0,35,50
540,135,120,85,85,105,0,35,50
555,125,120,80,80,105,0,35,45
570,120,115,80,75,85,0,35,45
585,120,90,70,65,70,0,30,45
600,110,90,65,60,50,20,25,45
615,95,80,60,55,35,30,20,30
630,90,70,60,50,30,40,20,20
645,0,60,60,45,20,40,25,20
660,0,50,45,40,35,30,25,20
675,0,0,0,55,45,40,15,20
690,0,0,0,0,0,0,20,30
705,0,0,0,0,0,0,0,20
