時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,100,50,25,0,5,5,0,15
15,130,130,65,0,5,5,0,20
30,140,120,80,0,25,30,0,15
45,140,110,80,0,80,65,0,20
60,120,110,80,0,90,80,0,35
75,140,100,80,0,85,70,0,40
90,130,100,85,0,80,60,0,35
105,120,100,75,0,85,55,0,35
120,120,100,80,0,85,50,0,30
135,120,95,85,0,80,60,0,30
150,120,95,85,0,60,65,0,30
165,110,95,85,0,65,65,0,30
180,110,95,90,0,80,60,0,35
195,110,90,90,0,90,60,0,35
210,110,90,85,0,90,70,0,20
225,110,90,85,0,80,75,0,20
240,120,105,85,0,80,75,0,35
255,120,110,75,0,95,80,0,35
270,125,100,65,0,100,75,0,20
285,115,105,90,0,95,75,0,30
300,120,105,90,0,95,75,0,30
315,115,105,90,0,95,75,0,30
330,120,110,80,0,100,75,0,30
345,125,100,90,0,100,75,0,30
360,125,100,95,0,110,80,0,50
375,140,95,95,0,120,80,0,50
390,130,100,95,0,120,80,0,35
405,130,95,95,0,120,80,0,20
420,130,110,95,0,95,80,0,35
435,135,110,95,0,95,80,0,40
450,145,100,95,0,95,85,0,30
465,135,100,90,0,95,85,0,30
480,125,90,95,0,95,80,0,30
495,125,80,105,0,90,80,0,30
510,125,85,110,0,90,75,0,30
525,110,85,110,0,85,80,0,20
540,115,80,100,0,85,70,0,30
555,115,75,100,0,80,60,0,35
570,105,75,85,0,65,60,0,35
585,95,70,85,0,50,50,0,15
600,90,60,70,0,45,35,0,15
615,85,50,65,0,40,30,0,15
630,80,45,65,0,40,30,0,15
645,75,45,65,0,40,25,0,15
660,0,60,0,0,0,40,0,20
675,0,0,0,0,0,0,0,20
690,0,0,0,0,0,0,0,20
705,0,0,0,0,0,0,0,15
