時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,60,50,5,35,5,5,0,5
15,90,75,35,70,5,5,0,15
30,80,75,65,60,45,25,0,15
45,85,80,65,60,60,45,0,15
60,105,75,65,70,60,55,5,20
75,95,70,60,75,50,50,15,20
90,85,65,60,75,45,50,15,20
105,75,60,55,80,75,40,15,20
120,75,50,40,70,80,45,15,20
135,65,45,35,70,65,40,15,20
150,65,35,35,65,50,45,15,20
165,60,50,50,60,55,40,15,20
180,55,70,55,75,55,30,15,20
195,50,55,55,75,55,45,15,20
210,60,40,45,55,50,50,15,20
225,65,40,40,55,40,50,15,20
240,70,60,30,55,40,40,15,20
255,75,65,35,70,40,40,15,10
270,75,60,45,60,50,35,15,15
285,65,50,50,60,50,35,15,15
300,60,50,45,55,55,35,15,15
315,60,55,45,65,55,40,15,15
330,65,60,45,65,50,40,15,15
345,70,65,45,65,45,45,15,15
360,65,60,45,65,45,40,15,15
375,70,60,45,70,45,45,15,15
390,65,60,40,70,45,45,15,15
405,70,60,45,55,55,45,15,15
420,70,70,50,55,60,45,15,15
435,70,75,40,50,50,60,15,20
450,75,75,40,55,45,60,15,20
465,75,70,45,55,40,45,15,20
480,75,70,45,55,45,45,15,20
495,80,60,45,50,50,35,15,20
510,75,55,45,50,40,35,15,20
525,70,50,45,50,40,45,15,10
540,70,70,45,55,45,45,15,15
555,75,70,45,55,45,40,15,15
570,70,70,50,50,45,35,15,15
585,80,55,45,50,35,40,15,15
600,75,60,45,50,35,30,15,15
615,70,55,40,45,35,25,15,15
630,65,55,45,40,20,20,15,15
645,55,40,40,30,15,20,15,15
660,40,40,30,20,20,20,15,15
675,40,40,25,15,15,20,15,15
690,35,30,20,15,5,5,0,15
705,35,25,20,20,5,5,0,25
