時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,130,140,50,55,5,5,0,20
15,140,140,60,60,10,5,0,15
30,140,140,65,65,40,25,0,15
45,140,130,65,55,45,40,0,20
60,120,90,60,50,40,40,15,20
75,90,75,75,55,40,25,25,20
90,80,70,40,50,40,25,25,20
105,80,70,35,55,35,25,25,30
120,90,70,40,55,30,35,25,30
135,80,70,40,55,30,35,15,20
150,75,50,30,45,30,35,30,30
165,75,55,35,40,40,35,15,20
180,75,55,40,40,30,35,20,20
195,85,65,40,40,30,25,20,20
210,80,60,40,40,30,15,25,20
225,75,75,40,40,20,20,20,15
240,70,75,35,45,20,20,20,30
255,70,75,35,45,20,25,25,20
270,80,60,25,40,30,25,20,15
285,75,75,30,35,30,30,25,30
300,80,75,30,35,30,30,25,20
315,80,70,30,35,25,25,15,20
330,70,65,35,35,20,25,15,25
345,70,65,35,45,15,20,20,25
360,60,70,40,35,20,20,20,20
375,80,75,30,30,30,25,25,15
390,95,80,25,30,30,30,25,30
405,95,80,30,40,35,25,15,35
420,85,75,30,50,35,25,15,15
435,80,75,30,50,35,25,15,20
450,70,60,30,25,35,25,20,20
465,65,50,20,20,35,20,25,30
480,75,70,35,25,35,20,25,30
495,95,65,25,35,30,20,15,30
510,100,50,20,35,30,20,15,30
525,90,60,20,25,30,25,15,20
540,75,55,20,20,30,15,15,15
555,75,55,20,20,30,10,25,20
570,70,70,30,20,20,15,25,35
585,80,60,30,25,20,15,20,15
600,80,50,25,0,20,15,20,15
615,70,45,25,0,25,20,20,15
630,75,40,30,0,25,20,20,15
645,75,40,20,0,15,10,20,15
660,75,35,20,0,5,5,20,15
675,40,30,15,0,5,5,20,15
690,40,30,15,5,5,5,20,15
705,0,0,15,25,5,5,0,20
