時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,130,0,60,60,10,5,0,5
15,135,0,65,75,15,15,0,35
30,135,0,50,70,50,30,0,20
45,120,45,45,60,60,30,0,30
60,120,95,40,65,50,50,0,30
75,90,90,50,50,40,45,20,30
90,75,80,45,50,35,30,25,35
105,80,90,45,45,35,30,25,40
120,80,100,45,45,35,25,25,40
135,85,90,45,45,35,25,25,35
150,100,75,35,50,50,30,15,35
165,70,50,35,50,50,25,20,25
180,65,50,35,50,45,40,20,20
195,65,60,45,50,45,40,25,35
210,80,75,45,40,40,40,25,15
225,80,60,35,35,35,35,15,20
240,80,60,35,35,35,30,30,20
255,80,50,35,45,30,30,15,30
270,75,65,30,50,30,35,20,20
285,75,75,35,45,30,35,25,35
300,75,75,30,50,30,35,25,15
315,70,80,30,45,30,35,15,15
330,70,70,30,40,30,25,15,20
345,70,50,30,40,35,25,25,20
360,70,60,40,25,35,20,20,35
375,75,75,40,50,35,20,25,35
390,75,80,40,50,35,40,15,35
405,80,80,40,45,45,35,15,40
420,80,60,35,35,55,30,20,35
435,80,60,35,35,55,30,20,20
450,80,75,35,35,40,30,20,20
465,80,75,35,40,30,30,25,20
480,80,65,35,40,25,25,15,20
495,85,65,40,35,30,25,15,35
510,85,60,35,0,35,35,15,35
525,85,60,35,0,45,35,20,15
540,80,55,60,0,45,40,25,15
555,80,50,60,0,30,40,25,15
570,80,70,60,0,25,30,15,40
585,75,65,60,0,25,30,15,20
600,65,50,50,5,30,30,15,20
615,65,60,40,35,30,25,20,15
630,60,55,25,40,25,5,20,15
645,50,45,25,40,15,5,25,15
660,40,40,25,30,5,10,15,20
675,40,40,20,15,5,5,15,15
690,35,30,20,10,5,5,25,15
705,0,0,0,0,0,0,0,0
