時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,75,30,5,35,5,5,0,5
15,120,80,35,60,5,5,0,15
30,120,100,70,75,45,5,0,10
45,115,100,70,75,70,45,0,15
60,125,95,70,75,0,45,5,15
75,125,95,70,80,70,65,15,15
90,105,70,50,65,70,55,15,15
105,80,65,40,60,55,50,15,15
120,65,60,35,60,45,50,15,20
135,60,50,25,50,35,40,15,20
150,60,40,30,45,35,25,15,20
165,65,40,30,45,35,25,15,15
180,70,55,30,40,40,40,15,20
195,65,50,35,40,40,30,15,20
210,65,40,25,40,40,30,15,20
225,60,40,20,40,40,25,15,20
240,65,35,25,35,35,30,15,20
255,60,50,25,45,40,30,15,20
270,50,45,25,40,40,30,15,20
285,40,45,30,35,35,30,15,20
300,55,40,25,30,40,30,15,20
315,55,40,20,30,40,35,15,20
330,60,40,20,35,35,30,15,20
345,55,60,30,40,35,30,15,20
360,55,55,30,40,40,35,15,20
375,65,50,35,40,45,30,15,20
390,75,55,40,45,45,25,15,20
405,80,60,35,0,45,25,15,20
420,70,60,30,0,50,45,15,15
435,70,60,30,0,50,45,15,15
450,75,70,35,0,55,40,15,15
465,70,75,35,0,50,50,15,15
480,70,65,35,0,45,50,15,15
495,70,65,35,0,45,45,15,15
510,60,65,35,0,50,45,15,15
525,65,50,35,0,50,40,15,15
540,60,40,40,20,40,45,15,15
555,55,45,30,55,40,35,15,15
570,50,40,30,45,35,30,15,15
585,50,50,30,45,35,30,15,20
600,55,50,25,50,35,30,15,20
615,55,50,25,50,35,25,15,20
630,45,40,25,40,25,25,15,20
645,40,35,25,40,15,10,15,20
660,40,30,20,35,15,15,15,20
675,35,30,20,25,5,5,15,20
690,0,0,0,0,0,0,0,0
705,0,0,0,0,5,5,0,15
