時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,60,50,15,20,5,5,0,5
15,95,80,35,0,10,5,0,15
30,100,100,70,0,50,50,0,15
45,120,90,70,0,70,65,0,30
60,130,90,80,0,75,70,5,30
75,125,90,75,0,80,75,15,30
90,110,85,75,0,75,75,15,30
105,110,80,70,20,65,80,15,20
120,90,80,55,60,45,65,15,20
135,85,70,50,75,45,50,15,20
150,85,50,45,80,45,40,15,20
165,70,50,45,75,45,40,15,20
180,65,55,40,70,45,50,15,20
195,70,55,40,55,45,45,15,15
210,75,60,35,60,45,35,15,10
225,80,55,35,60,45,40,15,15
240,75,55,45,65,45,40,15,15
255,75,50,45,65,45,40,15,15
270,75,50,40,60,0,60,15,0
285,80,50,40,60,0,60,15,0
300,75,50,40,65,0,60,15,0
315,80,55,40,75,0,60,15,20
330,80,65,40,75,0,60,15,15
345,80,60,40,75,0,60,15,15
360,75,65,45,75,0,60,15,15
375,70,65,50,75,15,55,15,15
390,75,65,50,75,40,45,15,15
405,85,60,40,75,80,45,15,20
420,75,55,40,70,80,50,15,20
435,65,50,40,65,75,40,15,20
450,80,60,40,65,80,45,15,20
465,80,65,60,65,80,50,15,20
480,65,65,70,60,75,45,15,20
495,70,65,70,65,75,35,15,20
510,85,70,30,55,60,55,15,20
525,85,60,35,55,50,60,15,20
540,75,60,45,50,40,60,15,15
555,75,60,55,55,45,50,15,15
570,85,55,45,65,50,35,15,15
585,85,55,35,65,50,40,15,15
600,70,55,45,60,50,40,15,15
615,70,55,45,55,40,35,15,15
630,65,45,45,55,40,30,15,20
645,55,40,35,35,40,25,15,15
660,45,35,30,30,25,15,15,15
675,40,35,35,30,15,15,15,15
690,40,35,20,30,10,10,0,20
705,0,0,0,0,5,0,0,20
