時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,140,130,60,60,10,5,0,5
15,160,150,70,70,10,10,0,15
30,165,150,75,90,40,35,0,20
45,160,150,80,110,80,45,0,35
60,160,160,90,110,100,50,5,35
75,150,160,110,130,100,55,15,45
90,150,130,110,130,85,60,20,70
105,145,120,110,110,75,60,25,45
120,145,120,110,110,60,60,35,45
135,100,90,80,100,60,55,35,35
150,100,80,70,90,60,60,30,35
165,105,70,65,75,65,60,35,35
180,110,80,60,80,65,45,35,45
195,110,100,60,100,55,35,30,30
210,110,110,65,100,55,35,25,30
225,110,110,85,100,55,50,20,30
240,110,110,70,95,55,50,20,45
255,100,85,60,80,60,55,20,35
270,100,90,70,85,60,50,40,50
285,105,90,75,95,55,50,40,45
300,110,95,75,90,55,45,45,30
315,95,100,75,85,65,40,30,45
330,95,110,75,85,60,40,30,30
345,105,90,70,75,60,40,25,35
360,95,110,60,65,60,50,30,45
375,100,120,60,70,50,50,30,55
390,115,110,50,75,50,50,25,35
405,115,110,50,80,55,50,35,50
420,125,100,65,80,60,45,30,50
435,125,100,65,85,65,45,35,50
450,125,90,65,85,65,50,35,45
465,110,90,65,85,65,50,25,40
480,110,90,60,70,65,40,30,20
495,110,110,65,75,55,50,30,35
510,110,110,65,75,55,55,30,50
525,110,95,60,75,65,50,20,35
540,120,95,65,75,60,50,20,35
555,120,95,60,75,50,40,30,40
570,120,90,60,75,50,40,25,40
585,110,90,50,60,50,40,20,40
600,110,90,50,60,55,55,15,20
615,100,90,50,60,45,50,20,15
630,100,70,50,45,55,30,20,25
645,80,70,50,35,50,20,25,15
660,80,55,55,35,40,10,15,15
675,70,50,35,35,5,15,15,15
690,0,0,30,30,10,15,15,15
705,0,0,0,20,0,15,0,15
