時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,130,100,40,70,5,5,0,20
15,140,110,60,70,10,15,0,15
30,110,120,60,70,60,30,0,15
45,110,110,65,65,65,55,0,40
60,120,120,65,70,60,65,5,40
75,120,120,65,80,65,65,20,50
90,75,120,75,80,65,50,20,50
105,100,120,75,80,65,35,15,40
120,100,120,75,90,50,50,30,35
135,115,90,75,90,50,55,30,35
150,95,70,50,115,55,50,35,35
165,100,70,50,90,50,50,35,20
180,95,70,65,90,50,40,35,40
195,100,100,65,70,45,40,20,35
210,95,110,65,65,50,40,25,35
225,95,100,65,70,55,45,30,30
240,85,100,65,80,55,45,30,30
255,85,90,60,0,55,50,35,35
270,95,85,75,0,50,50,20,45
285,115,85,80,0,50,50,25,30
300,115,105,80,0,55,50,25,30
315,115,115,70,0,55,55,30,35
330,110,115,70,0,60,55,35,35
345,110,115,70,0,65,55,35,45
360,110,90,70,20,65,60,40,45
375,110,85,65,85,65,60,40,45
390,110,85,65,0,60,0,25,30
405,65,80,55,0,40,0,30,20
420,120,85,50,0,40,0,35,30
435,130,100,55,0,50,0,35,45
450,130,100,50,0,90,0,20,50
465,130,100,70,0,75,0,25,35
480,100,90,70,0,60,20,25,35
495,100,100,65,50,60,35,30,30
510,100,100,65,90,45,40,30,30
525,100,95,75,90,45,50,20,30
540,95,95,80,90,60,50,25,30
555,95,95,70,100,55,45,25,30
570,95,95,60,110,50,50,25,30
585,95,95,60,110,50,55,20,30
600,90,90,55,90,45,50,15,15
615,90,65,55,70,35,45,20,20
630,75,60,55,50,40,35,20,20
645,70,55,45,45,40,25,25,20
660,0,45,35,40,30,25,20,20
675,0,40,25,45,5,25,20,20
690,0,45,30,45,5,25,15,20
705,0,0,0,0,25,25,0,20
