時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,70,0,5,20,5,5,0,5
15,90,0,45,55,5,5,0,15
30,110,0,85,0,60,30,0,15
45,115,0,90,0,90,75,0,20
60,120,40,90,0,80,75,5,30
75,120,70,85,0,80,85,5,20
90,100,80,85,0,80,85,15,20
105,90,90,80,0,70,80,15,20
120,90,80,60,15,70,80,15,20
135,80,80,60,55,60,65,15,15
150,60,55,55,75,50,50,15,20
165,65,50,45,65,50,40,15,15
180,70,55,50,55,50,40,15,15
195,60,45,50,65,50,40,15,15
210,60,45,40,65,45,40,15,15
225,60,55,40,65,55,35,15,15
240,65,55,40,70,60,45,15,15
255,75,60,45,95,50,50,15,15
270,80,60,40,75,50,45,15,15
285,80,60,40,80,50,40,15,15
300,75,60,45,80,50,45,15,15
315,70,70,45,85,55,45,15,15
330,65,70,45,100,55,50,15,15
345,65,70,50,100,55,55,15,15
360,75,70,55,100,55,50,15,15
375,70,65,55,85,55,45,15,20
390,75,55,55,75,60,45,15,20
405,60,55,50,75,65,55,15,20
420,60,75,45,75,65,55,15,20
435,70,80,45,80,60,45,15,20
450,90,60,50,80,60,50,15,20
465,75,60,50,60,60,50,15,15
480,75,60,50,70,50,50,15,20
495,80,70,50,75,50,50,15,15
510,85,70,55,75,50,55,15,15
525,75,65,55,70,50,55,15,15
540,75,65,55,70,45,50,15,15
555,75,70,60,80,55,55,15,15
570,80,70,55,80,60,50,15,15
585,75,65,45,75,60,45,15,15
600,80,70,50,65,50,45,15,15
615,75,70,50,65,40,40,15,20
630,70,70,55,65,35,30,15,20
645,65,65,55,65,35,25,15,20
660,5,0,0,0,15,5,15,20
675,45,40,35,0,15,10,15,15
690,45,35,25,0,20,15,0,15
705,0,30,0,0,10,10,0,15
