時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,40,45,5,25,5,5,0,5
15,110,80,35,55,10,5,0,15
30,110,80,60,65,45,10,0,15
45,95,80,55,50,70,50,0,15
60,105,60,45,45,80,55,5,15
75,85,55,45,60,50,50,15,20
90,80,45,55,60,45,45,15,15
105,80,45,45,55,40,45,15,20
120,75,45,30,50,30,40,15,15
135,65,45,20,45,30,40,15,20
150,50,40,20,40,35,35,15,15
165,45,40,30,40,40,25,15,20
180,50,45,30,35,45,30,15,15
195,60,40,30,35,40,30,15,15
210,60,35,60,40,40,25,15,20
225,50,30,60,40,35,30,15,15
240,40,40,20,40,35,35,15,15
255,50,45,15,30,35,35,15,15
270,55,50,25,35,35,30,15,15
285,60,50,25,35,35,25,15,20
300,60,40,30,40,30,30,15,20
315,70,45,30,40,30,35,15,20
330,60,50,30,40,35,40,15,20
345,55,50,30,40,35,30,15,20
360,60,55,25,30,30,15,15,20
375,75,60,20,25,30,25,15,20
390,80,60,30,0,30,25,15,20
405,85,55,35,0,40,40,15,20
420,75,55,35,0,40,45,15,15
435,75,50,35,0,40,35,15,10
450,70,60,35,0,45,30,15,15
465,55,55,35,0,45,30,15,15
480,50,60,40,0,45,40,15,15
495,50,60,35,10,35,40,15,15
510,50,50,30,45,30,35,15,20
525,55,45,25,45,25,25,15,15
540,55,50,25,45,25,40,15,15
555,65,50,25,45,30,40,15,15
570,70,45,25,40,25,20,15,15
585,65,40,20,35,15,20,15,15
600,60,40,15,35,15,20,15,20
615,55,40,20,35,15,15,15,15
630,50,35,20,30,20,10,15,15
645,40,35,20,30,15,10,15,15
660,40,30,15,25,5,10,15,15
675,35,30,15,20,5,5,15,15
690,25,30,10,15,5,5,0,15
705,20,0,10,10,5,5,0,15
