時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,0,0,0,0,0,0,0,0
15,190,230,50,100,50,30,0,5
30,190,220,50,110,50,50,0,30
45,200,200,55,120,65,50,0,30
60,200,190,60,120,70,45,0,50
75,180,170,65,120,65,45,15,35
90,180,160,65,110,70,50,20,50
105,190,160,70,100,70,60,25,45
120,190,155,70,110,70,60,20,35
135,190,155,70,105,75,55,30,40
150,190,170,70,100,75,55,30,45
165,185,170,70,105,70,55,35,35
180,180,170,70,100,70,55,40,35
195,180,180,65,80,75,55,40,35
210,170,190,60,85,70,55,30,50
225,170,185,65,90,70,55,35,50
240,175,185,65,95,70,55,35,45
255,175,175,60,105,70,65,35,45
270,170,150,60,105,70,60,35,45
285,190,150,60,105,70,60,40,45
300,190,130,60,90,70,60,45,35
315,190,130,60,95,70,60,40,45
330,190,150,60,100,70,60,40,60
345,190,150,60,105,70,60,35,45
360,190,160,65,110,70,55,35,50
375,190,160,65,100,70,55,35,50
390,190,160,65,90,70,55,35,45
405,190,150,65,95,70,55,40,40
420,180,150,65,105,70,55,55,50
435,170,140,70,105,70,55,55,60
450,170,140,70,90,70,55,55,50
465,160,150,70,100,70,55,45,55
480,160,160,70,100,70,55,40,50
495,170,160,55,100,65,50,35,55
510,170,150,50,90,65,50,40,55
525,170,140,50,90,65,50,30,50
540,160,140,45,100,65,45,35,50
555,170,150,50,100,55,40,35,40
570,170,140,55,90,50,45,25,45
585,140,120,50,80,55,45,30,50
600,0,120,45,70,55,40,30,40
615,0,120,45,70,55,40,35,40
630,0,0,50,80,50,40,35,40
645,0,0,50,0,45,35,25,40
660,0,0,50,0,40,35,30,45
675,0,0,0,0,40,35,30,35
690,0,0,0,0,30,25,30,35
705,0,0,0,0,20,25,0,20
