時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,0,0,0,0,0,0,0,0
15,120,75,30,25,5,0,0,20
30,100,75,30,50,5,0,0,15
45,85,75,30,50,10,0,0,20
60,80,70,30,45,20,0,0,20
75,80,55,25,40,25,0,20,20
90,80,55,25,40,25,0,20,20
105,85,65,30,45,25,0,25,20
120,95,50,30,40,25,0,25,15
135,0,0,0,0,0,0,0,0
150,80,50,20,45,25,0,15,15
165,75,40,15,45,25,0,20,20
180,65,40,20,40,20,0,20,15
195,65,45,20,35,15,0,25,15
210,70,65,15,40,15,0,25,20
225,70,65,15,40,20,0,15,20
240,85,50,15,40,15,0,15,15
255,90,45,15,40,15,0,15,15
270,80,55,30,40,15,0,20,15
285,75,50,30,35,15,0,25,15
300,65,50,35,40,20,0,25,15
315,70,50,15,40,20,0,15,15
330,70,45,15,40,20,0,25,15
345,70,45,10,40,25,0,25,20
360,60,60,15,30,25,0,25,20
375,65,60,15,30,20,0,25,20
390,80,60,15,35,20,0,25,20
405,80,45,15,35,15,0,15,15
420,80,50,15,40,15,0,15,25
435,65,50,10,35,15,0,15,20
450,70,50,10,40,15,0,20,15
465,65,45,10,35,15,0,25,20
480,60,50,15,25,10,0,25,20
495,70,50,15,25,5,0,15,20
510,80,55,15,35,10,0,15,20
525,80,55,10,35,15,0,20,15
540,75,45,10,30,10,0,20,15
555,60,40,10,25,10,0,25,20
570,60,45,10,25,5,0,25,15
585,50,35,10,20,5,0,25,15
600,40,35,10,20,5,0,15,15
615,35,30,10,25,5,0,15,15
630,35,20,10,10,5,0,20,15
645,50,15,10,10,5,0,25,25
660,55,45,10,30,5,0,15,0
675,0,45,20,30,5,0,20,0
690,0,40,15,20,15,0,20,0
705,0,0,15,15,5,0,0,0
