時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,0,0,0,0,0,0,0,0
15,135,130,40,60,0,0,0,20
30,140,110,40,0,0,0,0,20
45,140,90,55,0,0,0,0,20
60,140,85,60,0,0,0,0,35
75,115,85,60,0,0,0,15,30
90,110,95,55,0,25,0,20,30
105,110,90,40,0,55,0,20,35
120,110,85,35,0,55,0,25,15
135,100,75,35,30,45,0,15,20
150,100,65,30,60,45,0,15,20
165,100,55,25,65,40,0,20,20
180,90,65,20,55,35,0,20,20
195,85,55,20,55,45,0,25,15
210,110,70,20,60,40,0,15,20
225,110,70,25,60,35,0,20,25
240,105,70,25,55,35,0,15,20
255,100,65,15,50,40,0,15,15
270,90,65,15,50,45,0,20,30
285,100,70,15,50,40,0,20,15
300,95,70,15,50,35,0,25,30
315,95,70,20,50,35,0,15,30
330,90,75,15,55,40,0,15,20
345,90,70,15,50,40,0,15,20
360,80,65,20,45,35,0,20,20
375,85,60,15,45,35,0,25,30
390,85,70,15,45,35,0,15,25
405,100,70,15,45,35,0,15,25
420,100,70,15,45,35,0,25,20
435,95,70,10,40,30,0,15,20
450,100,70,20,45,25,0,15,20
465,100,65,20,40,25,0,40,30
480,90,75,20,40,25,0,25,30
495,70,75,20,40,30,0,15,30
510,60,70,10,40,30,0,15,15
525,65,45,10,40,25,0,15,20
540,70,60,15,25,20,0,25,20
555,70,55,10,30,15,0,25,20
570,65,50,15,35,15,0,20,20
585,65,50,15,40,10,0,25,15
600,55,40,15,20,20,0,15,15
615,45,35,15,10,10,0,15,15
630,45,30,10,10,5,0,20,15
645,30,30,10,10,5,0,25,20
660,60,55,10,30,5,0,25,15
675,50,0,20,35,5,0,15,15
690,0,0,15,20,5,0,20,15
705,0,0,15,15,5,0,0,20
