時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,40,0,5,5,5,5,0,5
15,110,0,5,60,5,0,0,20
30,150,0,45,75,10,10,0,15
45,150,0,70,85,50,35,0,20
60,160,0,85,90,110,75,10,15
75,130,0,60,85,110,80,15,35
90,120,0,45,75,90,75,20,30
105,100,0,45,70,70,60,20,35
120,95,0,45,70,55,55,10,20
135,95,0,40,65,50,50,20,15
150,110,0,40,60,45,45,15,30
165,100,0,40,65,45,30,20,15
180,95,0,30,65,50,40,20,15
195,80,0,30,65,50,40,25,20
210,100,0,40,60,50,40,15,15
225,110,0,35,60,50,35,15,20
240,100,0,35,75,45,35,15,20
255,95,0,35,65,40,50,15,20
270,90,0,45,45,30,45,15,20
285,95,0,40,55,30,50,25,30
300,100,0,30,50,45,50,20,40
315,95,0,20,55,55,45,10,30
330,95,0,20,55,65,45,25,25
345,90,0,35,50,65,40,20,25
360,85,0,40,45,50,50,20,30
375,85,0,35,45,50,45,15,30
390,100,0,35,45,40,40,20,30
405,100,0,35,60,40,40,20,35
420,90,0,35,60,40,35,20,35
435,95,0,35,55,40,50,20,35
450,95,0,25,50,45,55,20,20
465,95,0,25,40,50,45,20,30
480,95,0,35,45,50,40,25,20
495,90,0,25,50,45,45,15,30
510,75,0,25,45,65,45,15,30
525,90,0,25,30,45,50,20,15
540,90,0,25,50,35,50,20,15
555,90,0,35,50,50,50,20,15
570,80,0,35,35,50,35,20,15
585,70,0,40,30,50,40,20,20
600,70,0,35,35,35,40,20,20
615,70,0,25,30,15,30,20,20
630,50,0,15,20,15,10,20,20
645,50,0,25,30,15,10,25,20
660,60,0,45,35,35,35,20,20
675,60,0,35,30,40,40,20,20
690,0,0,30,25,0,20,0,20
705,0,0,0,15,0,0,0,20
