時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,0,0,0,0,0,0,0,0
15,160,160,70,80,20,10,0,20
30,160,140,80,80,60,40,0,20
45,160,130,80,80,60,50,0,20
60,160,130,120,90,65,60,0,20
75,150,110,150,100,65,65,15,35
90,140,130,160,100,65,65,20,35
105,140,130,100,100,60,60,25,40
120,130,120,70,90,60,60,25,35
135,130,120,70,90,60,55,15,30
150,130,110,75,90,60,50,15,30
165,130,100,75,100,55,55,20,20
180,130,100,85,100,55,55,20,20
195,130,95,80,100,55,55,30,20
210,120,95,70,100,55,55,15,20
225,125,100,85,95,55,55,15,30
240,130,110,90,90,60,50,20,35
255,120,120,90,90,60,50,20,35
270,120,120,95,90,60,50,20,30
285,120,120,80,85,55,50,25,20
300,120,120,85,100,55,50,25,35
315,115,110,100,100,60,50,35,35
330,130,110,100,100,60,50,15,45
345,135,110,95,95,60,50,25,45
360,140,110,85,95,55,55,20,35
375,0,0,0,0,0,0,0,0
390,130,90,95,95,50,50,25,30
405,120,95,85,95,55,50,30,45
420,130,120,90,95,55,50,35,40
435,120,120,85,95,55,40,20,35
450,130,120,85,95,45,40,20,40
465,125,120,95,100,50,40,40,35
480,135,115,85,85,45,40,25,35
495,130,110,90,85,50,40,30,35
510,135,100,85,85,50,30,30,35
525,130,100,85,85,40,35,20,40
540,130,100,90,80,40,40,20,35
555,130,100,85,70,40,40,25,20
570,125,105,80,60,40,35,15,30
585,120,100,80,60,40,30,15,25
600,115,100,75,65,35,30,25,25
615,95,90,65,65,35,25,25,15
630,95,85,75,60,35,0,25,20
645,90,85,75,50,25,0,25,20
660,85,75,70,45,30,0,15,0
675,0,0,0,45,20,0,15,0
690,0,0,0,40,20,5,15,0
705,0,0,0,35,5,5,0,0
