時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,40,0,10,15,5,5,0,5
15,80,0,20,40,5,5,0,15
30,130,0,60,80,5,5,0,15
45,150,0,105,110,40,25,0,15
60,160,0,120,120,130,70,5,15
75,180,0,125,130,135,105,15,15
90,185,0,130,140,130,120,20,75
105,170,0,135,140,130,130,25,75
120,165,0,135,140,130,130,25,75
135,165,0,130,130,130,120,45,50
150,180,0,125,130,130,100,30,50
165,170,0,115,115,130,90,35,35
180,155,0,110,120,130,90,35,35
195,140,0,110,120,125,95,40,45
210,135,0,120,125,125,90,40,35
225,135,0,115,115,120,110,30,40
240,140,0,115,115,105,110,40,45
255,140,0,115,120,110,110,40,35
270,145,0,100,130,120,85,25,45
285,145,0,110,135,120,95,25,40
300,145,0,105,135,120,100,40,40
315,135,0,115,135,105,100,50,50
330,150,0,120,135,115,100,45,50
345,155,0,115,140,120,100,50,60
360,155,0,120,140,125,110,35,70
375,160,0,125,130,125,100,45,75
390,160,0,125,135,125,110,40,75
405,160,0,125,135,110,110,30,65
420,145,0,125,140,110,110,30,45
435,145,0,125,135,110,100,35,30
450,150,0,130,135,110,100,40,30
465,145,0,125,140,120,100,25,45
480,145,0,120,140,115,90,25,55
495,145,0,120,135,115,90,30,35
510,130,0,120,120,110,90,35,40
525,130,0,120,110,110,90,35,45
540,130,0,120,100,100,90,40,45
555,135,0,105,95,85,80,25,45
570,125,0,110,90,80,75,25,30
585,120,0,105,85,75,75,15,30
600,110,0,95,85,70,65,15,20
615,100,0,95,85,75,60,15,20
630,100,0,100,75,90,55,15,20
645,85,0,0,75,90,45,25,20
660,0,0,0,0,0,60,25,35
675,0,0,0,0,0,0,25,35
690,0,0,0,0,0,0,0,20
705,0,0,0,0,0,0,0,20
