時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,0,0,0,0,0,0,0,0
15,175,180,55,100,25,10,0,15
30,160,170,65,110,60,40,0,20
45,170,160,80,105,75,50,0,20
60,175,160,85,105,80,55,0,20
75,165,150,100,110,75,60,15,35
90,165,140,110,130,80,70,20,35
105,165,130,115,130,85,70,20,45
120,165,130,115,130,85,70,25,45
135,165,130,140,120,90,70,15,30
150,155,145,145,120,90,70,30,35
165,155,150,125,125,85,70,35,30
180,140,160,115,125,80,65,20,35
195,140,145,105,120,80,65,25,35
210,150,130,105,120,70,65,25,35
225,150,105,95,120,70,65,20,45
240,155,120,95,125,75,65,35,45
255,150,125,110,135,75,65,20,45
270,150,145,105,135,75,65,25,30
285,150,150,105,120,75,65,25,35
300,150,150,110,120,75,65,20,35
315,140,160,110,120,90,65,30,50
330,140,160,110,120,90,65,20,50
345,150,150,120,120,90,70,35,45
360,150,130,120,125,90,70,25,45
375,150,105,120,125,85,75,25,30
390,145,115,110,115,85,75,25,30
405,135,125,110,120,85,70,30,35
420,140,140,110,125,70,65,35,45
435,150,150,120,125,70,60,20,35
450,150,140,115,120,70,60,20,35
465,150,140,120,110,70,60,45,45
480,145,145,125,110,70,60,30,20
495,140,140,125,110,70,60,30,50
510,155,140,120,115,65,60,20,35
525,155,130,120,110,65,60,15,35
540,145,130,105,100,65,60,20,35
555,145,130,115,90,55,50,25,40
570,135,125,110,85,55,45,25,20
585,130,105,110,80,55,45,15,20
600,115,100,90,85,45,45,20,20
615,105,90,85,85,40,40,20,15
630,0,85,95,80,40,40,20,15
645,0,75,0,70,30,35,25,15
660,0,0,0,0,40,40,15,0
675,0,0,0,0,0,0,15,0
690,0,0,0,0,0,0,20,0
705,0,0,0,0,0,0,0,0
