時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,0,0,0,0,0,0,0,0
15,65,35,45,10,5,5,0,15
30,60,50,15,0,5,5,0,15
45,60,45,15,0,5,5,0,20
60,60,45,25,0,5,5,0,20
75,50,45,30,0,5,5,20,20
90,45,45,25,20,10,5,20,20
105,50,45,15,35,10,5,20,20
120,50,55,15,40,5,5,25,15
135,45,45,15,45,5,10,15,20
150,0,0,0,0,0,0,0,0
165,50,30,15,40,5,5,20,15
180,45,30,15,35,5,5,20,20
195,40,40,15,30,5,5,25,15
210,45,45,20,25,5,5,25,15
225,40,40,20,25,5,5,20,20
240,50,30,20,30,5,5,15,20
255,45,40,20,30,5,5,15,20
270,40,50,20,25,5,5,20,20
285,40,50,20,25,5,5,25,20
300,30,35,20,30,5,5,25,15
315,40,30,20,20,5,5,25,15
330,45,30,15,20,10,5,15,20
345,40,30,15,20,15,5,20,20
360,40,45,20,20,15,10,20,20
375,35,45,20,25,15,15,20,20
390,45,45,20,35,15,10,25,20
405,45,40,20,35,15,15,25,20
420,35,30,15,35,15,5,20,15
435,40,30,15,25,15,5,15,15
450,35,30,15,20,5,5,20,15
465,35,35,15,20,5,5,20,15
480,35,40,15,15,5,10,25,20
495,45,40,15,20,5,10,30,20
510,50,35,15,20,5,15,15,20
525,45,35,15,15,5,15,20,15
540,45,30,15,15,5,10,20,15
555,45,30,10,20,5,5,25,15
570,35,35,10,20,5,5,25,15
585,35,30,10,15,5,5,15,15
600,25,25,10,15,5,5,15,15
615,25,20,10,15,5,5,15,15
630,10,10,10,5,5,5,20,15
645,10,5,10,5,5,5,20,25
660,35,30,15,20,5,5,15,0
675,35,30,20,15,5,5,15,0
690,25,25,20,5,5,5,20,0
705,25,0,20,5,5,5,0,0
