時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,5,0,5,15,5,5,0,5
15,100,0,25,30,5,5,0,15
30,155,0,50,80,15,5,0,20
45,150,0,85,95,80,40,0,20
60,160,0,120,100,110,75,5,35
75,175,0,130,110,110,85,15,50
90,175,0,110,110,110,80,20,50
105,165,0,110,130,110,70,25,50
120,130,0,100,125,110,70,25,50
135,110,0,90,120,100,65,25,35
150,120,0,85,115,100,75,30,35
165,130,0,95,100,90,65,45,40
180,130,0,105,95,95,60,45,45
195,135,0,100,95,95,60,30,45
210,120,0,95,95,100,60,30,45
225,120,0,90,95,100,70,25,50
240,120,0,95,100,105,75,25,35
255,120,0,95,110,105,70,15,35
270,130,0,100,110,105,65,30,35
285,120,0,100,110,105,60,40,35
300,120,0,100,110,105,70,30,45
315,120,0,100,105,110,70,35,60
330,125,0,100,105,110,65,30,60
345,130,0,100,100,100,65,35,45
360,145,0,105,100,95,70,48,45
375,145,0,105,100,95,70,35,50
390,140,0,100,110,100,75,45,45
405,130,0,105,105,100,75,45,50
420,140,0,115,95,100,80,45,50
435,140,0,115,90,95,85,30,50
450,135,0,105,95,100,80,35,35
465,130,0,100,100,105,85,35,45
480,125,0,100,110,105,85,40,55
495,115,0,100,110,95,70,35,55
510,120,0,100,120,90,75,50,45
525,130,0,105,110,90,65,35,35
540,130,0,105,100,80,70,30,50
555,125,0,105,90,80,70,30,45
570,110,0,90,80,70,60,30,50
585,105,0,90,70,50,50,15,35
600,100,0,85,65,50,40,15,30
615,100,0,85,65,45,45,15,15
630,95,0,85,60,40,40,20,15
645,85,0,80,60,55,40,25,15
660,0,0,0,0,0,0,15,30
675,0,0,0,0,0,0,15,30
690,0,0,0,0,0,0,0,15
705,0,0,0,0,0,0,0,20
