時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,90,95,50,60,10,5,0,5
15,90,90,75,75,20,15,0,15
30,115,80,65,75,60,40,0,20
45,110,75,60,65,50,50,0,30
60,110,55,60,55,40,45,5,30
75,85,50,50,50,35,35,20,35
90,70,50,35,45,35,30,15,20
105,65,55,35,50,40,30,20,25
120,60,50,35,50,45,35,20,15
135,60,50,35,50,40,40,25,15
150,70,45,40,45,40,40,25,20
165,65,55,40,40,35,35,15,15
180,60,60,40,45,30,35,20,15
195,55,55,40,45,35,25,15,15
210,60,50,30,40,40,30,15,15
225,60,45,30,45,40,35,20,15
240,60,45,30,45,40,35,20,15
255,60,55,35,50,45,30,20,15
270,70,55,35,45,45,35,25,15
285,70,50,40,40,50,35,25,20
300,75,40,35,40,40,35,20,20
315,80,45,30,35,40,35,15,20
330,80,55,30,40,40,35,15,20
345,75,70,35,45,45,35,25,20
360,65,75,70,50,50,40,20,20
375,70,75,80,45,50,45,25,15
390,70,70,40,45,40,45,25,15
405,85,70,25,50,45,40,25,15
420,80,60,30,50,50,40,15,20
435,80,55,45,45,60,50,15,15
450,80,55,50,45,45,40,15,15
465,80,75,50,45,40,35,15,20
480,80,75,45,45,45,40,15,20
495,85,75,45,40,50,35,25,45
510,75,75,40,40,40,35,25,35
525,75,65,30,40,35,30,25,20
540,75,60,40,40,30,20,25,15
555,75,60,35,35,30,40,15,15
570,75,65,40,35,35,40,15,15
585,80,65,40,35,30,30,20,20
600,75,60,25,40,30,25,20,15
615,70,50,25,30,20,20,20,15
630,60,45,30,30,10,15,20,15
645,50,45,25,25,10,15,20,20
660,45,40,25,20,10,10,20,20
675,40,35,25,15,5,5,20,20
690,40,35,20,10,5,5,0,15
705,0,30,20,10,5,5,0,10
