時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,0,0,0,0,0,0,0,0
15,150,120,55,60,15,5,0,20
30,150,120,55,65,40,20,0,20
45,140,130,60,65,60,30,0,20
60,120,130,55,75,55,30,0,20
75,130,130,60,85,55,45,20,20
90,140,130,75,85,50,45,20,30
105,150,130,75,100,55,40,25,30
120,150,130,90,105,55,40,25,45
135,155,130,90,105,55,40,30,45
150,155,110,80,105,60,40,30,35
165,145,105,80,105,60,45,15,35
180,145,95,75,100,60,45,35,35
195,130,105,75,100,60,45,20,30
210,130,105,75,105,55,45,25,45
225,130,120,90,105,60,45,25,30
240,130,120,75,100,60,40,30,30
255,115,135,75,100,70,40,35,45
270,125,120,70,85,60,45,40,35
285,125,120,70,90,55,45,20,35
300,125,120,70,110,55,45,25,35
315,120,115,65,110,55,45,30,45
330,120,115,65,105,65,40,35,45
345,125,100,75,100,60,40,35,45
360,130,100,75,90,60,40,40,45
375,130,100,80,90,60,40,40,45
390,130,90,80,90,55,40,40,55
405,130,100,80,90,55,45,30,55
420,140,105,80,90,55,45,30,40
435,130,115,90,95,55,40,35,35
450,130,120,80,95,55,40,35,55
465,130,130,80,100,55,40,25,50
480,130,130,85,100,60,40,25,50
495,130,130,90,100,60,40,30,55
510,140,120,90,105,60,40,35,50
525,150,120,85,105,65,40,35,40
540,160,110,85,90,60,40,20,35
555,150,90,75,80,55,40,25,35
570,150,90,75,80,50,40,25,50
585,130,120,75,70,50,40,30,40
600,115,110,75,70,40,30,20,35
615,110,80,70,60,40,25,20,20
630,100,80,60,60,40,25,20,20
645,0,70,70,65,35,25,20,20
660,0,0,70,55,20,25,20,15
675,0,0,0,55,25,20,20,15
690,0,0,0,0,20,15,20,15
705,0,0,0,0,25,15,0,30
