時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,125,0,10,35,5,5,0,5
15,150,0,60,60,15,5,0,20
30,180,0,90,85,70,10,0,30
45,180,0,100,85,75,55,0,50
60,180,0,110,90,80,70,5,50
75,170,0,95,90,80,70,15,35
90,0,0,95,100,70,60,15,35
105,0,0,90,105,70,60,20,30
120,0,0,75,100,80,55,30,30
135,0,0,75,90,70,55,30,20
150,0,0,70,80,60,45,40,35
165,0,0,65,80,50,45,35,45
180,0,0,75,80,45,45,40,45
195,0,0,70,80,50,45,40,35
210,0,0,65,65,50,45,45,40
225,0,0,65,65,55,45,25,50
240,0,0,70,55,70,45,45,45
255,0,0,70,60,70,40,30,30
270,0,0,65,65,75,50,35,30
285,0,0,65,75,60,55,40,30
300,0,0,60,70,60,45,45,45
315,0,0,65,70,60,45,45,30
330,0,0,75,70,55,50,50,60
345,0,0,80,70,55,55,40,50
360,0,0,80,75,55,50,40,50
375,0,0,70,75,55,50,40,45
390,0,0,70,70,70,45,20,45
405,0,0,70,85,70,45,20,30
420,0,0,75,75,65,50,60,60
435,0,0,70,75,65,50,35,45
450,0,0,70,70,65,50,40,45
465,0,0,70,65,70,55,40,50
480,0,0,70,60,70,55,40,50
495,0,0,80,60,70,55,40,35
510,0,0,80,60,65,50,40,35
525,0,0,65,65,60,50,40,30
540,0,0,70,65,55,45,35,45
555,0,0,70,60,55,45,25,50
570,0,0,65,50,55,40,25,40
585,0,0,60,35,40,35,30,45
600,0,0,55,35,25,30,20,15
615,0,0,45,35,25,20,20,20
630,0,0,35,30,30,20,20,20
645,0,0,50,30,30,15,25,15
660,0,0,0,50,25,15,15,20
675,0,0,0,30,0,40,25,30
690,30,0,0,25,0,35,0,15
705,0,0,0,0,0,0,0,15
