時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,140,85,60,80,30,5,0,0
15,140,90,70,80,45,35,0,0
30,150,120,90,90,60,35,0,0
45,160,110,95,80,55,50,0,0
60,150,110,70,80,65,60,15,0
75,150,100,80,85,70,60,15,0
90,140,100,85,85,70,70,15,0
105,140,110,85,100,70,70,15,0
120,155,125,100,90,70,65,20,0
135,155,135,105,90,70,70,20,0
150,145,140,95,90,70,70,20,0
165,140,140,90,90,75,65,20,0
180,140,110,90,100,80,65,25,0
195,150,90,80,100,80,70,25,0
210,160,80,80,110,80,65,25,0
225,140,90,80,100,75,65,30,0
240,140,105,85,100,75,70,30,0
255,140,105,85,115,70,70,15,0
270,140,110,90,110,75,65,15,0
285,145,110,90,110,80,65,15,0
300,160,110,90,110,75,65,25,0
315,150,110,90,100,75,65,30,0
330,150,110,95,100,75,65,30,0
345,140,110,85,95,75,70,20,0
360,135,110,85,95,75,65,20,0
375,150,100,85,100,75,65,25,0
390,150,100,85,110,75,65,30,0
405,150,90,85,110,70,60,30,0
420,160,100,85,105,70,60,30,0
435,140,120,90,105,65,60,15,0
450,150,120,90,105,60,60,25,0
465,155,115,90,105,65,60,15,0
480,155,115,95,105,65,60,25,0
495,155,120,90,105,65,55,15,0
510,160,120,95,105,60,60,15,0
525,160,115,90,95,55,60,15,0
540,145,105,95,95,60,60,20,0
555,145,105,95,90,55,60,15,0
570,145,85,95,90,50,55,25,0
585,135,85,90,95,50,50,15,0
600,125,90,85,90,50,50,15,0
615,115,80,80,80,45,35,20,0
630,110,60,75,65,35,35,15,0
645,0,55,70,60,30,35,15,0
660,0,45,60,50,25,30,15,0
675,0,0,0,55,25,30,15,0
690,0,0,0,0,0,0,20,0
705,0,0,0,0,0,0,0,0
