時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,180,0,5,60,5,5,0,15
15,170,0,70,110,25,15,0,15
30,170,0,110,150,100,65,0,15
45,180,0,150,140,130,85,0,35
60,190,0,160,150,160,100,15,65
75,180,0,175,150,190,120,25,65
90,180,0,180,155,180,120,20,50
105,180,0,160,155,160,130,40,60
120,180,0,150,160,140,120,45,45
135,170,0,150,165,150,130,45,40
150,165,0,150,160,170,130,50,60
165,165,0,140,140,170,100,50,45
180,170,0,135,135,175,80,35,45
195,170,0,135,135,170,90,45,35
210,170,0,135,140,170,120,40,35
225,170,0,135,140,170,120,40,65
240,160,0,160,155,170,120,40,65
255,165,0,160,155,170,120,40,65
270,165,0,155,160,170,120,40,60
285,170,0,150,160,170,120,40,45
300,190,0,140,165,160,110,40,55
315,220,0,135,160,150,110,45,45
330,220,0,140,170,150,110,40,60
345,215,0,150,170,150,110,40,60
360,200,0,150,170,170,95,40,60
375,200,0,160,165,170,100,40,60
390,200,0,160,155,170,100,40,50
405,200,0,160,145,170,120,45,65
420,190,0,160,145,145,130,50,65
435,180,0,155,145,140,130,60,65
450,175,0,165,145,145,140,45,60
465,160,0,170,150,145,120,40,65
480,160,0,165,150,145,110,40,60
495,160,0,160,150,145,110,35,65
510,155,0,145,130,120,110,45,60
525,155,0,140,125,120,100,50,60
540,160,0,130,110,120,90,40,50
555,140,0,125,110,110,90,35,50
570,135,0,120,105,100,80,25,35
585,130,0,120,100,90,80,25,40
600,120,0,0,90,85,80,25,30
615,115,0,0,85,85,75,20,20
630,0,0,0,80,85,65,20,15
645,0,0,0,0,0,65,25,15
660,0,0,0,0,0,0,15,35
675,0,0,0,0,0,0,20,35
690,0,0,0,0,0,0,0,20
705,0,0,0,0,0,0,0,25
