時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,40,0,10,0,5,5,0,15
15,140,0,50,0,5,5,0,20
30,160,0,120,0,50,60,0,15
45,180,0,130,10,115,80,0,15
60,180,0,130,140,160,75,5,35
75,180,0,155,200,145,75,20,50
90,190,0,170,130,140,85,20,65
105,180,0,165,125,140,85,40,70
120,165,0,150,130,140,95,60,80
135,165,0,135,130,145,100,60,65
150,160,0,130,125,145,100,60,60
165,160,0,120,125,145,85,50,45
180,160,0,140,125,140,80,45,45
195,160,0,145,125,140,85,55,45
210,155,0,150,125,130,95,40,50
225,160,0,150,125,130,95,55,55
240,160,0,150,125,130,100,45,35
255,150,0,140,135,140,100,35,50
270,150,0,150,135,140,100,45,55
285,160,0,150,130,140,110,45,75
300,165,0,140,130,145,110,35,75
315,170,0,145,120,135,110,45,75
330,170,0,145,125,115,100,45,65
345,170,0,145,135,120,100,55,50
360,170,0,145,135,120,80,60,50
375,170,0,145,130,135,80,60,50
390,165,0,150,120,135,90,45,60
405,165,0,155,120,135,100,45,55
420,175,0,160,120,135,100,50,60
435,175,0,160,125,130,95,50,60
450,175,0,160,130,120,95,55,65
465,175,0,160,130,125,95,40,60
480,170,0,155,135,125,90,30,60
495,170,0,150,135,120,85,45,50
510,160,0,150,125,115,85,40,50
525,160,0,150,110,110,85,45,50
540,150,0,150,115,110,90,40,50
555,145,0,145,115,105,90,45,60
570,140,0,145,100,105,90,25,55
585,135,0,145,90,95,70,30,45
600,130,0,0,85,85,70,50,35
615,0,0,0,95,85,60,35,45
630,0,0,0,0,0,65,20,30
645,0,0,0,0,0,70,20,35
660,0,0,0,0,0,0,25,35
675,0,0,0,0,0,0,15,35
690,0,0,0,0,0,0,0,30
705,0,0,0,0,0,0,0,15
