時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,100,80,40,0,10,5,0,5
15,115,95,45,0,10,30,0,15
30,120,90,55,0,40,45,0,35
45,130,80,65,0,80,50,0,35
60,110,90,75,0,80,50,5,35
75,100,90,75,0,85,55,15,35
90,100,95,60,0,85,60,15,40
105,95,100,60,0,85,55,15,35
120,95,85,60,0,70,60,15,30
135,95,85,60,0,70,70,15,20
150,85,75,50,0,65,60,15,35
165,90,70,50,0,60,55,15,35
180,95,75,50,0,65,55,35,30
195,95,75,45,0,70,55,30,30
210,105,75,45,0,70,55,30,15
225,95,75,45,0,70,60,20,20
240,95,70,55,0,65,65,20,15
255,85,75,55,0,65,60,20,35
270,110,85,55,0,60,60,20,15
285,110,100,50,0,65,60,30,20
300,115,110,50,0,70,60,30,35
315,120,100,50,0,75,70,30,30
330,120,100,40,0,75,75,30,35
345,120,90,50,0,80,75,35,35
360,110,90,55,0,80,75,25,20
375,105,90,55,0,75,80,30,30
390,100,90,55,0,75,80,30,30
405,100,85,35,0,80,75,25,25
420,95,85,45,0,80,70,15,30
435,100,85,35,0,70,65,15,30
450,100,100,35,0,60,70,30,30
465,110,90,35,0,60,70,25,30
480,100,90,40,0,70,75,30,30
495,95,90,40,0,65,70,25,20
510,95,85,40,0,65,65,25,20
525,100,85,40,0,60,65,25,20
540,100,80,45,0,60,65,25,20
555,100,80,40,0,65,60,25,20
570,95,65,40,0,55,60,25,15
585,85,60,35,0,45,65,25,15
600,85,60,30,0,35,60,25,15
615,80,50,25,0,30,55,15,20
630,75,50,15,0,30,40,15,15
645,60,45,20,0,35,35,15,15
660,0,60,30,0,35,35,15,15
675,0,60,30,0,35,40,15,15
690,0,0,25,0,0,40,0,15
705,0,0,15,0,0,0,0,15
