時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,90,120,25,25,5,5,0,5
15,95,110,45,35,5,5,0,5
30,115,100,45,0,10,5,0,35
45,115,85,55,0,55,5,0,35
60,100,90,55,0,80,5,5,55
75,100,80,55,0,70,5,5,40
90,100,90,40,0,65,5,30,40
105,90,100,30,5,50,5,30,40
120,90,115,25,40,40,5,30,35
135,80,115,25,50,35,5,30,20
150,80,80,25,55,35,5,15,20
165,75,70,25,55,35,5,15,20
180,75,60,25,55,30,5,20,35
195,85,55,30,50,30,10,25,40
210,85,55,35,45,40,20,25,35
225,80,70,25,45,45,25,40,30
240,80,75,25,55,45,25,30,30
255,85,80,20,55,45,15,15,45
270,85,85,20,55,45,15,35,30
285,85,80,20,60,45,30,20,35
300,100,75,20,55,45,40,25,35
315,100,75,15,55,45,45,35,35
330,85,65,15,55,45,55,30,35
345,80,60,15,50,40,55,25,20
360,80,75,20,50,40,45,25,35
375,100,75,20,45,40,40,15,50
390,100,70,25,55,35,35,25,30
405,90,60,15,55,45,45,30,50
420,65,60,20,45,50,50,15,30
435,75,60,15,45,50,45,15,35
450,85,75,10,45,45,40,20,30
465,95,75,10,45,45,35,20,35
480,95,75,10,45,45,35,25,35
495,95,75,10,45,45,40,20,45
510,75,75,15,45,45,45,25,30
525,75,70,15,45,45,45,20,30
540,85,70,10,45,45,45,25,15
555,80,65,15,40,35,40,20,15
570,75,60,15,35,30,20,25,15
585,70,60,15,35,25,25,15,20
600,65,55,15,35,20,20,15,20
615,60,40,15,30,15,20,15,20
630,50,40,15,25,5,15,20,15
645,40,30,15,20,5,10,25,20
660,0,0,0,0,0,0,0,0
675,0,0,0,0,0,0,0,0
690,0,0,20,30,25,25,25,15
705,0,0,20,15,15,10,0,15
