時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,125,105,55,25,5,5,0,15
15,135,115,60,60,10,10,0,20
30,150,125,80,70,30,35,0,15
45,145,135,80,75,45,50,0,20
60,140,125,85,75,55,50,15,35
75,140,110,85,70,60,45,15,45
90,110,100,75,60,50,50,20,45
105,100,90,75,60,45,50,25,20
120,80,85,70,55,45,45,25,20
135,85,80,60,60,45,45,35,25
150,95,80,50,60,40,35,30,30
165,95,70,50,60,40,35,20,30
180,105,60,45,55,40,35,20,30
195,100,60,45,55,50,35,25,30
210,85,80,45,50,60,45,25,35
225,0,0,0,0,0,0,0,0
240,90,75,65,45,60,50,20,35
255,90,85,65,50,40,45,20,30
270,95,65,60,60,30,40,20,20
285,90,80,60,55,40,35,20,20
300,0,85,65,50,50,45,25,30
315,0,80,60,45,55,45,30,45
330,0,75,65,50,40,45,20,45
345,0,75,65,50,45,45,15,35
360,0,65,60,55,40,50,20,35
375,0,65,65,55,25,45,20,35
390,40,85,70,55,45,45,25,35
405,70,95,120,60,55,45,15,35
420,85,105,110,55,60,45,30,45
435,85,80,100,50,55,45,20,45
450,110,80,60,55,50,50,35,45
465,110,80,50,50,45,50,20,45
480,130,80,55,50,45,55,25,55
495,130,80,70,50,40,65,30,30
510,110,95,65,40,45,65,30,15
525,100,90,65,40,50,60,15,20
540,85,85,65,50,50,45,20,35
555,85,55,55,50,35,35,15,20
570,90,55,60,40,25,35,25,30
585,85,55,55,30,25,35,15,30
600,80,55,45,35,25,30,15,20
615,75,50,30,25,20,20,20,15
630,70,45,35,25,5,15,20,15
645,60,35,35,30,5,10,15,15
660,50,40,35,20,5,5,25,15
675,0,0,0,35,15,20,15,15
690,0,0,0,30,20,30,20,15
705,0,0,0,0,20,0,0,20
