時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,180,170,70,55,30,25,0,5
15,180,165,75,70,30,30,0,5
30,175,150,85,90,50,30,0,20
45,180,150,85,90,65,40,0,20
60,175,140,80,90,70,50,20,35
75,175,130,70,80,70,55,10,40
90,160,130,65,75,70,55,20,40
105,160,130,65,75,75,55,25,30
120,155,140,65,70,70,55,0,30
135,155,150,60,70,70,50,25,30
150,150,155,50,75,60,50,20,35
165,150,155,60,75,55,50,35,20
180,140,140,70,90,60,45,35,20
195,130,120,65,80,65,50,20,30
210,130,120,55,80,65,50,25,35
225,150,110,65,70,65,50,30,30
240,160,130,65,70,60,55,30,30
255,160,130,65,65,60,55,35,30
270,180,130,80,75,55,55,40,30
285,180,130,75,75,55,55,25,35
300,170,120,75,80,70,55,30,0
315,170,120,75,90,70,55,35,0
330,160,130,55,80,65,55,40,5
345,155,130,55,80,65,50,40,35
360,155,130,60,90,55,50,30,30
375,160,130,60,90,55,50,35,35
390,160,130,60,90,60,50,45,50
405,150,110,60,75,60,50,40,50
420,150,110,70,70,60,45,25,50
435,150,110,70,70,65,45,25,35
450,150,110,70,70,60,50,30,35
465,150,110,65,70,60,50,35,35
480,150,110,65,80,50,45,40,40
495,150,120,60,80,50,40,25,40
510,140,130,60,70,50,40,25,40
525,140,130,60,70,45,40,30,35
540,130,120,70,60,40,40,0,35
555,120,110,65,60,45,35,0,35
570,110,90,60,50,45,30,0,30
585,100,70,55,50,40,30,0,30
600,100,75,45,45,40,25,0,30
615,100,80,55,45,25,25,0,20
630,90,65,35,40,20,25,0,20
645,85,65,35,35,15,15,0,20
660,0,60,35,25,10,15,0,20
675,0,0,35,0,10,15,0,20
690,0,0,0,0,35,25,0,30
705,0,0,0,0,0,0,0,30
