時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,150,90,55,0,15,10,0,5
15,160,105,75,0,30,45,0,15
30,160,120,90,0,90,55,0,20
45,155,120,100,0,90,75,0,45
60,130,115,140,0,110,100,5,60
75,130,120,145,0,120,95,15,50
90,130,120,145,0,120,85,15,35
105,130,120,115,0,115,80,15,35
120,135,115,115,0,115,85,15,35
135,135,125,100,0,115,80,15,30
150,120,95,80,0,110,80,15,35
165,120,90,85,0,110,80,25,30
180,105,85,80,0,100,80,30,30
195,95,90,80,0,85,80,30,30
210,110,85,90,0,85,80,35,15
225,120,100,90,0,95,75,20,30
240,130,100,90,0,95,70,15,30
255,130,100,110,0,95,70,15,35
270,130,100,105,0,95,75,15,30
285,120,100,105,0,100,80,15,35
300,110,90,105,0,100,80,30,50
315,120,100,115,0,110,80,20,35
330,120,100,100,0,110,80,35,50
345,135,115,100,0,110,80,35,35
360,140,115,100,0,110,80,30,20
375,145,115,105,0,100,80,30,25
390,145,105,105,0,100,80,30,25
405,145,100,95,0,100,70,30,25
420,130,100,80,0,100,75,40,30
435,130,110,90,0,100,80,15,30
450,130,100,110,0,100,85,30,30
465,125,100,110,0,100,90,30,30
480,110,100,100,0,95,85,30,30
495,120,115,100,0,95,85,15,35
510,120,105,120,0,95,80,30,35
525,120,90,120,0,100,80,30,20
540,100,90,110,0,95,70,15,20
555,100,95,110,0,85,60,15,20
570,110,85,100,0,80,65,15,20
585,110,75,90,0,70,55,15,20
600,100,65,85,0,60,55,15,20
615,100,60,90,0,55,50,15,15
630,90,55,85,0,50,30,15,20
645,80,50,70,0,50,40,15,20
660,0,50,0,0,45,45,15,20
675,0,0,0,0,0,45,15,20
690,0,0,0,0,0,0,0,15
705,0,0,0,0,0,0,0,15
