時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,120,130,5,65,5,5,0,15
15,130,130,40,65,10,5,0,15
30,150,150,65,70,45,30,0,20
45,160,160,75,70,75,65,0,20
60,165,155,75,85,80,70,5,50
75,165,140,70,90,85,70,20,65
90,145,120,70,90,85,65,25,60
105,145,120,65,95,85,60,25,75
120,145,120,55,100,75,65,25,60
135,145,110,55,100,70,65,30,30
150,135,100,50,90,65,55,35,40
165,135,100,50,85,65,55,35,30
180,130,90,50,85,65,60,35,35
195,130,80,50,85,70,50,20,35
210,125,95,55,90,70,45,25,35
225,125,105,55,90,80,55,45,55
240,125,110,50,90,85,50,40,50
255,115,110,50,90,90,50,35,45
270,130,110,45,90,90,55,35,35
285,135,110,45,90,80,55,40,50
300,135,100,45,95,80,60,40,60
315,135,100,55,95,85,60,30,50
330,135,95,45,95,85,70,50,75
345,135,95,45,95,85,90,40,60
360,130,90,45,90,80,90,45,45
375,130,90,45,90,80,90,40,50
390,125,100,40,90,80,70,30,50
405,125,100,40,85,95,60,50,65
420,125,130,40,85,100,75,30,60
435,145,135,55,85,95,75,35,45
450,140,135,50,85,85,70,40,45
465,150,135,55,90,80,70,35,60
480,150,120,60,95,80,75,45,60
495,150,120,50,95,80,55,45,50
510,140,110,50,90,80,60,30,50
525,130,110,55,95,80,65,30,50
540,130,105,60,95,80,70,35,50
555,130,105,55,85,70,65,35,45
570,115,95,55,75,65,55,20,45
585,105,80,45,70,55,45,30,30
600,105,80,40,60,45,35,20,30
615,100,70,25,50,40,30,20,15
630,100,65,20,50,35,25,20,20
645,0,60,20,55,30,20,25,20
660,0,55,25,50,35,35,25,20
675,0,0,45,0,45,35,15,20
690,0,0,35,0,0,0,20,30
705,0,0,0,0,0,0,0,0
