時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,80,75,5,30,5,5,0,5
15,115,100,60,45,5,5,0,15
30,150,80,95,60,35,10,0,15
45,160,100,75,70,55,35,0,20
60,155,105,70,75,60,60,5,35
75,155,100,70,75,60,65,25,20
90,155,100,70,75,60,60,20,35
105,90,70,60,70,65,55,25,35
120,90,70,65,70,65,50,25,40
135,100,70,70,65,60,40,25,45
150,105,75,65,65,60,50,15,40
165,105,70,60,60,50,50,15,30
180,105,70,60,65,50,50,20,30
195,0,0,0,0,0,0,0,0
210,100,75,60,70,50,45,30,35
225,105,75,50,70,50,55,25,35
240,105,75,50,70,55,55,30,35
255,105,75,45,75,60,50,15,35
270,95,65,60,70,60,50,30,30
285,85,70,75,75,60,50,25,30
300,85,70,100,65,60,45,25,30
315,110,100,80,65,70,55,15,45
330,110,90,80,75,70,60,30,35
345,110,75,70,85,70,65,35,35
360,95,75,70,80,70,60,40,45
375,95,70,55,85,65,60,25,35
390,100,70,55,85,50,60,25,20
405,100,70,65,60,50,60,20,20
420,100,75,55,60,50,55,20,45
435,100,70,55,60,50,50,15,35
450,95,80,60,65,50,45,15,30
465,95,80,60,65,50,55,25,35
480,90,75,60,65,50,50,30,35
495,100,75,65,60,55,50,30,35
510,105,80,65,60,65,50,20,35
525,110,80,70,65,70,50,15,30
540,105,80,80,70,70,45,25,30
555,95,75,70,70,50,40,20,30
570,85,75,70,65,40,35,15,35
585,90,65,60,55,40,35,20,35
600,85,65,60,45,30,40,20,20
615,75,55,45,35,20,35,20,20
630,0,0,0,0,0,0,0,0
645,70,40,30,35,15,15,25,20
660,60,35,40,30,5,15,25,20
675,0,0,50,45,20,25,15,20
690,0,0,0,0,0,0,15,20
705,0,0,0,0,0,0,0,20
