時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,110,70,100,40,0,20,0,15
15,110,70,90,60,0,20,0,15
30,120,90,85,70,0,25,0,15
45,130,100,80,85,0,45,0,15
60,130,80,90,85,0,50,15,20
75,130,80,90,85,0,50,15,20
90,145,90,90,80,0,50,15,25
105,145,95,90,80,0,50,20,35
120,150,95,90,70,0,55,25,20
135,155,95,100,70,0,55,15,15
150,150,85,100,70,0,55,15,25
165,140,70,100,85,0,55,35,20
180,135,80,100,100,0,55,20,20
195,130,80,100,100,0,60,25,20
210,120,90,90,90,0,60,25,20
225,120,100,90,90,0,60,30,25
240,120,95,90,75,0,60,30,30
255,130,85,95,85,0,60,25,25
270,130,80,90,90,0,60,20,35
285,125,90,100,90,0,55,25,35
300,130,100,100,90,0,60,15,30
315,135,100,105,90,0,60,15,20
330,140,90,100,90,0,60,25,20
345,145,90,110,85,0,55,25,25
360,150,90,115,85,0,55,25,30
375,140,80,105,85,0,60,30,30
390,140,90,105,95,0,60,30,30
405,140,90,105,90,0,60,25,35
420,140,95,110,90,0,65,25,35
435,140,95,110,90,0,60,30,35
450,130,95,120,90,0,60,25,35
465,130,95,115,95,0,60,25,25
480,135,95,115,95,0,60,25,30
495,135,90,120,95,0,60,25,30
510,125,90,115,90,0,55,25,30
525,120,95,115,85,0,50,15,20
540,110,90,115,80,0,50,15,20
555,120,90,120,75,0,50,0,20
570,120,95,120,75,0,45,0,20
585,120,85,115,70,0,40,0,15
600,110,80,100,70,0,35,0,15
615,105,80,95,60,0,40,0,20
630,100,70,100,60,0,30,0,20
645,0,45,0,55,0,25,0,25
660,0,50,0,40,0,25,0,0
675,0,0,0,50,0,35,0,0
690,0,0,0,0,0,0,0,0
705,0,0,0,0,0,0,0,0
