時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,130,0,5,40,5,5,0,15
15,155,0,50,50,5,5,0,20
30,155,0,100,80,50,20,0,20
45,135,0,90,75,90,65,0,35
60,125,0,100,75,95,85,0,35
75,115,0,95,75,90,75,0,35
90,125,0,85,75,85,75,0,30
105,120,0,75,80,90,70,0,45
120,120,0,75,75,90,60,0,45
135,115,0,90,70,80,55,0,30
150,110,0,80,70,75,45,0,30
165,110,0,80,65,40,45,0,35
180,100,0,75,70,60,50,0,35
195,105,0,75,65,65,50,0,35
210,105,0,70,65,75,55,0,45
225,110,0,70,60,75,55,0,45
240,115,0,60,60,70,50,0,30
255,110,0,60,65,70,50,0,30
270,105,0,60,70,65,50,0,30
285,100,0,60,70,60,50,0,15
300,110,0,60,65,60,55,0,30
315,110,0,70,65,65,55,0,35
330,110,0,85,65,50,55,0,50
345,110,0,80,70,70,55,0,45
360,105,0,70,70,70,60,0,45
375,105,0,65,65,75,70,0,45
390,110,0,70,65,70,80,0,45
405,115,0,70,65,75,75,0,45
420,120,0,80,50,70,60,0,55
435,120,0,80,65,70,60,0,50
450,125,0,80,75,75,60,0,50
465,120,0,75,75,75,60,0,45
480,115,0,75,70,75,60,0,45
495,115,0,75,70,75,60,0,45
510,110,0,75,70,75,60,0,40
525,110,0,75,60,75,60,0,30
540,115,0,80,65,75,55,0,35
555,115,0,85,70,75,45,0,40
570,110,0,75,70,70,45,0,35
585,105,0,65,55,65,45,0,45
600,100,0,70,50,50,45,0,30
615,90,0,75,50,50,35,0,30
630,85,0,75,45,50,35,0,30
645,80,0,70,50,50,40,0,20
660,0,0,75,50,40,40,0,20
675,0,0,0,45,30,40,0,20
690,0,0,0,30,30,20,0,20
705,0,0,0,30,0,10,0,15
