時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,200,200,80,20,55,35,0,25
15,200,200,90,70,50,45,0,20
30,190,190,80,70,55,45,0,20
45,180,200,70,95,60,45,0,35
60,180,190,65,100,65,50,5,20
75,180,170,70,110,65,55,15,30
90,180,160,80,100,65,60,20,35
105,180,160,80,90,65,55,25,45
120,190,160,80,100,65,50,25,30
135,200,160,75,100,65,60,30,45
150,200,160,75,110,70,55,45,30
165,200,150,70,110,70,55,35,35
180,190,150,60,100,75,55,40,35
195,160,120,60,90,75,55,40,35
210,160,120,70,80,75,55,30,35
225,160,130,70,80,70,55,30,45
240,180,140,70,100,70,55,30,30
255,180,140,70,105,60,55,35,45
270,180,140,70,100,60,60,40,40
285,180,140,60,100,60,60,30,30
300,180,140,60,80,70,60,30,30
315,180,130,60,90,70,60,40,35
330,180,130,70,90,70,60,35,35
345,180,130,70,90,70,60,40,35
360,170,130,55,100,70,60,45,35
375,160,140,55,100,65,60,30,35
390,170,150,80,100,70,55,35,45
405,170,150,80,100,75,60,45,50
420,170,150,70,100,75,60,40,45
435,170,150,70,100,70,60,30,35
450,170,140,70,100,65,60,30,45
465,170,130,65,100,65,50,35,35
480,170,130,65,90,65,50,25,30
495,150,135,65,90,65,50,25,45
510,150,135,65,90,65,50,50,30
525,130,135,65,80,65,50,0,35
540,130,130,60,85,55,45,0,30
555,125,115,60,80,55,45,0,30
570,120,115,65,85,50,40,0,35
585,115,100,60,85,50,40,0,35
600,110,100,50,70,45,35,0,35
615,105,80,45,60,45,30,0,20
630,105,80,30,55,40,25,0,20
645,0,70,25,45,25,25,0,15
660,0,65,40,45,10,25,0,20
675,0,0,0,45,25,25,0,15
690,0,0,35,0,0,0,0,30
705,0,0,20,0,0,0,0,30
