時間,ソアリン,トイストーリーマニア,タワーオブテラー,センターオブジアース,インディージョーンズ,レイジングスピリッツ,マジックランプシアター,タートルトーク
0,130,160,25,0,10,10,0,15
15,150,150,55,0,30,30,0,30
30,175,165,55,0,70,60,0,35
45,175,140,55,0,80,60,0,35
60,165,130,55,0,70,75,0,35
75,160,115,50,0,70,65,0,40
90,160,115,50,30,75,65,0,60
105,120,85,50,65,65,50,0,45
120,100,90,35,75,55,45,0,30
135,115,90,30,80,40,50,0,30
150,100,90,30,70,35,45,0,30
165,100,90,30,65,40,40,0,20
180,100,95,25,60,40,30,0,20
195,95,90,40,65,40,35,0,35
210,90,90,40,65,40,40,0,35
225,90,90,40,65,40,45,0,35
240,95,90,20,60,45,40,0,45
255,100,90,20,60,45,40,0,30
270,100,70,25,50,45,30,0,30
285,100,90,55,60,45,30,0,35
300,100,85,55,60,45,50,0,50
315,105,90,35,60,45,55,0,50
330,105,90,30,60,45,45,0,35
345,105,95,25,65,45,45,0,35
360,105,95,40,60,45,50,0,45
375,110,95,40,65,45,50,0,45
390,110,100,40,70,45,50,0,40
405,105,100,45,70,45,40,0,45
420,105,105,45,65,50,45,0,50
435,105,100,40,60,50,45,0,45
450,105,100,25,60,45,35,0,30
465,100,90,35,60,45,40,0,30
480,95,90,35,60,45,45,0,55
495,95,105,40,55,45,35,0,35
510,90,105,45,50,45,30,0,30
525,90,95,40,55,45,40,0,30
540,85,80,35,55,40,40,0,30
555,75,75,30,55,40,40,0,20
570,75,75,20,50,30,40,0,20
585,80,75,20,45,15,20,0,30
600,80,65,25,40,15,20,0,15
615,70,65,20,30,15,15,0,15
630,60,60,20,20,15,10,0,15
645,65,65,15,20,10,5,0,15
660,65,65,20,45,15,20,0,30
675,0,0,30,35,40,35,0,15
690,0,0,25,25,0,30,0,15
705,0,0,20,0,0,0,0,25
